# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP1	31	1.0000	0.0000	0.0000	0.9756	0.0116	0.0008	0.0488	0.0464	0.0017	0.9512	0.0464	0.0017	0.0244	0.0116	0.0008	0.9756	0.0116	0.0008	0.0488	0.0464	0.0017	0.0000	46.6132	0.0000
TGCP2	25	1.0000	0.0000	0.0000	0.9759	0.0115	0.0008	0.0482	0.0459	0.0017	0.9518	0.0459	0.0017	0.0241	0.0115	0.0008	0.9759	0.0115	0.0008	0.0482	0.0459	0.0017	0.0000	46.6409	0.0000
TGCP3	1	1.0000	0.0000	0.0000	0.9801	0.0095	0.0008	0.0397	0.0381	0.0015	0.9603	0.0381	0.0015	0.0199	0.0095	0.0008	0.9801	0.0095	0.0008	0.0397	0.0381	0.0015	0.0000	47.0570	0.0000
TGCP4	2	1.0000	0.0000	0.0000	0.9789	0.0101	0.0008	0.0423	0.0405	0.0016	0.9577	0.0405	0.0016	0.0211	0.0101	0.0008	0.9789	0.0101	0.0008	0.0423	0.0405	0.0016	0.0000	46.9319	0.0000
TGCP5	1	1.0000	0.0000	0.0000	0.9795	0.0098	0.0008	0.0411	0.0394	0.0016	0.9589	0.0394	0.0016	0.0205	0.0098	0.0008	0.9795	0.0098	0.0008	0.0411	0.0394	0.0016	0.0000	46.9912	0.0000
TGCP6	0	1.0000	0.0000	0.0000	0.9792	0.0100	0.0008	0.0416	0.0399	0.0016	0.9584	0.0399	0.0016	0.0208	0.0100	0.0008	0.9792	0.0100	0.0008	0.0416	0.0399	0.0016	0.0000	46.9627	0.0000
TGCP7	2	1.0000	0.0000	0.0000	0.9794	0.0099	0.0008	0.0412	0.0395	0.0016	0.9588	0.0395	0.0016	0.0206	0.0099	0.0008	0.9794	0.0099	0.0008	0.0412	0.0395	0.0016	0.0000	46.9819	0.0000
TGCP8	1	1.0000	0.0000	0.0000	0.9817	0.0088	0.0007	0.0366	0.0353	0.0015	0.9634	0.0353	0.0015	0.0183	0.0088	0.0007	0.9817	0.0088	0.0007	0.0366	0.0353	0.0015	0.0000	47.2087	0.0000
TGCP9	23	1.0000	0.0000	0.0000	0.9790	0.0101	0.0008	0.0420	0.0402	0.0016	0.9580	0.0402	0.0016	0.0210	0.0101	0.0008	0.9790	0.0101	0.0008	0.0420	0.0402	0.0016	0.0000	46.9464	0.0000
TGCP10	5	1.0000	0.0000	0.0000	0.9801	0.0095	0.0008	0.0398	0.0382	0.0015	0.9602	0.0382	0.0015	0.0199	0.0095	0.0008	0.9801	0.0095	0.0008	0.0398	0.0382	0.0015	0.0000	47.0539	0.0000
MRLP123	142	1.0000	0.0000	0.0000	0.9813	0.0090	0.0005	0.0374	0.0360	0.0010	0.9626	0.0360	0.0010	0.0187	0.0090	0.0005	0.9813	0.0090	0.0005	0.0374	0.0360	0.0010	0.0000	47.1674	0.0000
MRLP124	122	1.0000	0.0000	0.0000	0.9820	0.0087	0.0005	0.0360	0.0347	0.0010	0.9640	0.0347	0.0010	0.0180	0.0087	0.0005	0.9820	0.0087	0.0005	0.0360	0.0347	0.0010	0.0000	47.2372	0.0000
MRLP125	143	1.0000	0.0000	0.0000	0.9839	0.0078	0.0005	0.0322	0.0312	0.0009	0.9678	0.0312	0.0009	0.0161	0.0078	0.0005	0.9839	0.0078	0.0005	0.0322	0.0312	0.0009	0.0000	47.4217	0.0000
MRLP126	4	1.0000	0.0000	0.0000	0.9850	0.0073	0.0004	0.0299	0.0291	0.0009	0.9701	0.0291	0.0009	0.0150	0.0073	0.0004	0.9850	0.0073	0.0004	0.0299	0.0291	0.0009	0.0000	47.5338	0.0000
MRLP127	8	1.0000	0.0000	0.0000	0.9832	0.0081	0.0005	0.0336	0.0325	0.0010	0.9664	0.0325	0.0010	0.0168	0.0081	0.0005	0.9832	0.0081	0.0005	0.0336	0.0325	0.0010	0.0000	47.3549	0.0000
MRLP128	6	1.0000	0.0000	0.0000	0.9848	0.0074	0.0005	0.0303	0.0294	0.0009	0.9697	0.0294	0.0009	0.0152	0.0074	0.0005	0.9848	0.0074	0.0005	0.0303	0.0294	0.0009	0.0000	47.5146	0.0000
MRLP129	8	1.0000	0.0000	0.0000	0.9860	0.0068	0.0004	0.0280	0.0272	0.0009	0.9720	0.0272	0.0009	0.0140	0.0068	0.0004	0.9860	0.0068	0.0004	0.0280	0.0272	0.0009	0.0000	47.6284	0.0000
MRLP130	6	1.0000	0.0000	0.0000	0.9850	0.0073	0.0005	0.0300	0.0291	0.0009	0.9700	0.0291	0.0009	0.0150	0.0073	0.0005	0.9850	0.0073	0.0005	0.0300	0.0291	0.0009	0.0000	47.5316	0.0000
STT183	62	1.0000	0.0000	0.0000	0.9831	0.0082	0.0005	0.0338	0.0327	0.0009	0.9662	0.0327	0.0009	0.0169	0.0082	0.0005	0.9831	0.0082	0.0005	0.0338	0.0327	0.0009	0.0000	47.3450	0.0000
STT184	85	1.0000	0.0000	0.0000	0.9825	0.0084	0.0005	0.0350	0.0338	0.0010	0.9650	0.0338	0.0010	0.0175	0.0084	0.0005	0.9825	0.0084	0.0005	0.0350	0.0338	0.0010	0.0000	47.2875	0.0000
STT185	6	1.0000	0.0000	0.0000	0.9889	0.0054	0.0004	0.0222	0.0217	0.0009	0.9778	0.0217	0.0009	0.0111	0.0054	0.0004	0.9889	0.0054	0.0004	0.0222	0.0217	0.0009	0.0000	47.9156	0.0000
STT186	8	1.0000	0.0000	0.0000	0.9872	0.0063	0.0005	0.0257	0.0250	0.0009	0.9743	0.0250	0.0009	0.0128	0.0063	0.0005	0.9872	0.0063	0.0005	0.0257	0.0250	0.0009	0.0000	47.7434	0.0000
STT187	3	1.0000	0.0000	0.0000	0.9874	0.0061	0.0004	0.0252	0.0245	0.0009	0.9748	0.0245	0.0009	0.0126	0.0061	0.0004	0.9874	0.0061	0.0004	0.0252	0.0245	0.0009	0.0000	47.7686	0.0000
STT188	10	1.0000	0.0000	0.0000	0.9842	0.0076	0.0005	0.0315	0.0305	0.0009	0.9685	0.0305	0.0009	0.0158	0.0076	0.0005	0.9842	0.0076	0.0005	0.0315	0.0305	0.0009	0.0000	47.4578	0.0000
STT189	80	1.0000	0.0000	0.0000	0.9821	0.0086	0.0005	0.0357	0.0344	0.0010	0.9643	0.0344	0.0010	0.0179	0.0086	0.0005	0.9821	0.0086	0.0005	0.0357	0.0344	0.0010	0.0000	47.2512	0.0000
STT190	2	1.0000	0.0000	0.0000	0.9877	0.0060	0.0004	0.0247	0.0241	0.0009	0.9753	0.0241	0.0009	0.0123	0.0060	0.0004	0.9877	0.0060	0.0004	0.0247	0.0241	0.0009	0.0000	47.7929	0.0000
STT191	8	1.0000	0.0000	0.0000	0.9868	0.0064	0.0004	0.0264	0.0257	0.0009	0.9736	0.0257	0.0009	0.0132	0.0064	0.0004	0.9868	0.0064	0.0004	0.0264	0.0257	0.0009	0.0000	47.7100	0.0000
STT192	9	1.0000	0.0000	0.0000	0.9889	0.0054	0.0004	0.0221	0.0217	0.0009	0.9779	0.0217	0.0009	0.0111	0.0054	0.0004	0.9889	0.0054	0.0004	0.0221	0.0217	0.0009	0.0000	47.9165	0.0000
FSSP241	77	1.0000	0.0000	0.0000	0.9838	0.0078	0.0005	0.0323	0.0313	0.0010	0.9677	0.0313	0.0010	0.0162	0.0078	0.0005	0.9838	0.0078	0.0005	0.0323	0.0313	0.0010	0.0000	47.4186	0.0000
FSSP242	8	1.0000	0.0000	0.0000	0.9901	0.0049	0.0004	0.0198	0.0194	0.0008	0.9802	0.0194	0.0008	0.0099	0.0049	0.0004	0.9901	0.0049	0.0004	0.0198	0.0194	0.0008	0.0000	48.0310	0.0000
FSSP243	85	1.0000	0.0000	0.0000	0.9846	0.0075	0.0005	0.0308	0.0299	0.0010	0.9692	0.0299	0.0010	0.0154	0.0075	0.0005	0.9846	0.0075	0.0005	0.0308	0.0299	0.0010	0.0000	47.4918	0.0000
