Obs_____	TGCP_____	STT_____	MPO_____	PTP_____
TGCP_WM1	0.000000	0.170785	0.167525	0.185586
TGCP_WM1	0.000000	0.169667	0.167258	0.186719
TGCP_WM1	0.000000	0.167592	0.166305	0.186313
TGCP_WM1	0.000000	0.168812	0.168811	0.186134
TGCP_WM1	0.000000	0.169366	0.167110	0.186372
TGCP_WM1	0.000000	0.168909	0.166687	0.187400
TGCP_WM1	0.000000	0.169737	0.166690	0.188275
TGCP_WM10	0.000000	0.169322	0.166726	0.187712
TGCP_WM1	0.000000	0.169614	0.167814	0.187751
TGCP_WM1	0.000000	0.170329	0.167737	0.189204
TGCP_WM10	0.000000	0.170862	0.167933	0.189639
TGCP_WM1	0.000000	0.170369	0.166100	0.189680
TGCP_WM1	0.000000	0.168455	0.166078	0.186901
TGCP_WM1	0.000000	0.167934	0.166647	0.185137
TGCP_WM1	0.000000	0.169151	0.166808	0.188656
TGCP_WM1	0.000000	0.168846	0.169064	0.186899
TGCP_WM1	0.000000	0.168855	0.166699	0.186969
TGCP_WM1	0.000000	0.170347	0.167909	0.189229
TGCP_WM1	0.000000	0.169394	0.168529	0.188083
TGCP_WM1	0.000000	0.169952	0.166805	0.186997
TGCP_WM1	0.000000	0.170999	0.167297	0.187932
TGCP_WM1	0.000000	0.169566	0.167602	0.187241
TGCP_WM1	0.000000	0.171502	0.167412	0.186019
TGCP_WM1	0.000000	0.170952	0.167235	0.186846
TGCP_WM1	0.000000	0.169379	0.168166	0.189006
TGCP_WM1	0.000000	0.169125	0.167079	0.185300
TGCP_WM1	0.000000	0.170166	0.166292	0.187884
TGCP_WM1	0.000000	0.169129	0.168841	0.185981
TGCP_WM1	0.000000	0.168655	0.167159	0.185235
TGCP_WM10	0.000000	0.171606	0.168784	0.191560
TGCP_WM1	0.000000	0.170224	0.168027	0.186751
TGCP_WM1	0.000000	0.168694	0.165945	0.186111
TGCP_WM1	0.000000	0.170552	0.165401	0.187524
TGCP_WM1	0.000000	0.169643	0.166701	0.186803
TGCP_WM1	0.000000	0.171074	0.168287	0.187978
TGCP_WM1	0.000000	0.170006	0.166519	0.188252
TGCP_WM1	0.000000	0.171051	0.169423	0.189231
