	TGCP	MRLP	STT	FSSP	HNL	MPO	OICP	IRO	HGRF	PTP	RRL	RRO	CPS	PPNP	FPPI	CRWA	PCRA	DHFA
TGCP		0.116892	0.187277	0.147246	0.466616	0.186032	0.10051	0.0939741	0.174551	0.151844	0.11851	0.176846	0.149233	0.552099	0.530531	0.13754	0.12625	0.442041
MRLP			0.163447	0.123501	0.467411	0.161446	0.166662	0.116701	0.201058	0.176629	0.106773	0.201811	0.174448	0.529158	0.518434	0.171354	0.095102	0.447789
STT				0.159401	0.501373	0.0548149	0.247582	0.128401	0.290035	0.250573	0.140248	0.244356	0.171554	0.588811	0.550205	0.226251	0.151268	0.471908
FSSP					0.485097	0.159531	0.190001	0.105398	0.214619	0.189686	0.120362	0.211752	0.154249	0.56517	0.529862	0.176849	0.122838	0.457979
HNL						0.507974	0.515007	0.421639	0.57333	0.559617	0.41125	0.465831	0.447672	0.228234	0.25602	0.468466	0.424883	0.159333
MPO							0.248438	0.130757	0.285559	0.258476	0.139622	0.249667	0.173765	0.594542	0.555764	0.229733	0.152045	0.477073
OICP								0.136095	0.214825	0.186995	0.157139	0.250264	0.200407	0.613417	0.597941	0.202927	0.156653	0.485308
IRO									0.19897	0.145487	0.0738621	0.139344	0.103328	0.479313	0.479289	0.109173	0.0813604	0.393684
HGRF										0.153152	0.196331	0.329732	0.272455	0.666087	0.659482	0.280655	0.199257	0.545987
PTP											0.16952	0.296877	0.214056	0.66633	0.626052	0.245395	0.182459	0.528833
RRL												0.1149	0.0958725	0.483818	0.460566	0.120453	0.0829982	0.398448
RRO													0.172915	0.55228	0.544951	0.170249	0.132502	0.460318
CPS														0.502292	0.499576	0.187544	0.125192	0.413368
PPNP															0.219273	0.555086	0.500955	0.218626
FPPI																0.549664	0.479622	0.236947
CRWA																	0.124984	0.461613
PCRA																		0.407102
