# This document produced by the Structure Harvester,
# http://taylor0.biology.ucla.edu/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing 
# STRUCTURE output and implementing the Evanno method. 
# Conservation Genetics Resources vol. 4 (2) pp. 359-361 doi: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# Plot version: vA.1 November 2012
# Web version: v0.6.94 July 2014
# File generated at 2021-Feb-21 22:40:20 PST
# K	Reps	Mean LnP(K)	Stdev LnP(K)	Ln'(K)	|Ln''(K)|	Delta K
##########
1	12	-187246.2167	3.8226	NA	NA	NA
2	12	-175714.3417	7035.0621	11531.875000	778.575000	0.110671
3	12	-163403.8917	1753.2792	12310.450000	10208.775000	5.822675
4	12	-161302.2167	18863.4135	2101.675000	165881.058333	8.793799
5	12	-325081.6000	536746.0729	-163779.383333	200898.800000	0.374290
6	12	-287962.1833	480990.9357	37119.416667	7057.108333	0.014672
7	12	-243785.6583	218364.1437	44176.525000	540187.816667	2.473794
8	12	-739796.9500	1257515.5769	-496011.291667	809581.958333	0.643795
9	12	-426226.2833	339679.4065	313570.666667	187380.208333	0.551638
10	12	-300035.8250	199241.3038	126190.458333	691819.400000	3.472269
11	12	-865664.7667	1280406.5569	-565628.941667	1105612.891667	0.863486
12	12	-325680.8167	221127.0017	539983.950000	1458957.908333	6.597828
13	12	-1244654.7750	2042564.5753	-918973.958333	790787.816667	0.387154
14	12	-1372840.9167	1861127.3195	-128186.141667	19713.350000	0.010592
15	12	-1481313.7083	1607612.1338	-108472.791667	977079.191667	0.607783
16	12	-612707.3083	703484.7524	868606.400000	959815.841667	1.364373
17	12	-703916.7500	1090998.4393	-91209.441667	900765.966667	0.825635
18	12	-1695892.1583	2048094.8879	-991975.408333	NA	NA
