Population	Num	Eff_num	Ho	Hs	Gis
TGCP_WM3	1.261	1.183	0.142	0.141	-0.003
TGCP_WM1	1.276	1.194	0.145	0.152	0.051
TGCP_WM12	1.283	1.200	0.160	0.151	-0.059
TGCP_WM19	1.287	1.204	0.152	0.159	0.044
TGCP_WM1	1.277	1.190	0.149	0.148	-0.003
TGCP_WM12	1.285	1.201	0.159	0.153	-0.034
TGCP_WM18	1.279	1.193	0.142	0.154	0.078
TGCP_WM1	1.267	1.187	0.147	0.144	-0.024
TGCP_WM13	1.274	1.189	0.149	0.146	-0.020
TGCP_WM3	1.278	1.197	0.149	0.153	0.028
TGCP_WM10	1.275	1.192	0.142	0.153	0.072
TGCP_WM12	1.292	1.209	0.163	0.158	-0.033
TGCP_WM16	1.300	1.211	0.166	0.161	-0.027
TGCP_WM1	1.260	1.181	0.139	0.141	0.013
TGCP_WM16	1.296	1.210	0.164	0.160	-0.029
TGCP_WM3	1.278	1.195	0.142	0.155	0.087
TGCP_WM15	1.276	1.202	0.157	0.151	-0.036
TGCP_WM14	1.290	1.207	0.159	0.158	-0.007
TGCP_WM19	1.275	1.195	0.145	0.152	0.048
TGCP_WM3	1.278	1.197	0.149	0.153	0.028
TGCP_WM6	1.251	1.173	0.133	0.136	0.023
TGCP_WM11	1.298	1.213	0.159	0.165	0.034
TGCP_WM22	1.281	1.197	0.147	0.155	0.050
TGCP_WM13	1.288	1.198	0.150	0.157	0.047
TGCP_WM20	1.292	1.210	0.161	0.161	-0.001
TGCP_WM14	1.322	1.229	0.168	0.180	0.070
TGCP_WM21	1.279	1.195	0.147	0.153	0.036
TGCP_WM16	1.292	1.205	0.164	0.155	-0.060
TGCP_WM17	1.279	1.195	0.147	0.153	0.040
TGCP_WM1	1.264	1.187	0.142	0.145	0.017
TGCP_WM3	1.252	1.178	0.134	0.139	0.037
TGCP_WM15	1.300	1.214	0.164	0.164	0.003
TGCP_WM15	1.273	1.195	0.146	0.151	0.038
TGCP_WM14	1.292	1.207	0.157	0.160	0.022
TGCP_WM14	1.330	1.230	0.180	0.178	-0.014
TGCP_WM14	1.292	1.207	0.157	0.160	0.022
TGCP_WM4	1.266	1.187	0.148	0.143	-0.040
TGCP_WM23	1.270	1.196	0.148	0.150	0.011
TGCP_WM10	1.260	1.185	0.144	0.141	-0.023
TGCP_WM11	1.283	1.198	0.154	0.153	-0.006
TGCP_WM20	1.274	1.193	0.150	0.148	-0.012
TGCP_WM23	1.269	1.188	0.146	0.146	-0.005
TGCP_WM20	1.292	1.210	0.161	0.161	-0.001
TGCP_WM12	1.280	1.197	0.155	0.151	-0.022
TGCP_WM18	1.254	1.181	0.135	0.141	0.040
TGCP_WM3	1.278	1.197	0.149	0.153	0.028
TGCP_WM1	1.284	1.195	0.151	0.153	0.010
TGCP_WM19	1.274	1.193	0.156	0.145	-0.074
TGCP_WM14	1.299	1.211	0.154	0.167	0.079
TGCP_WM24	1.303	1.209	0.155	0.167	0.074
TGCP_WM11	1.270	1.194	0.149	0.148	-0.005
TGCP_WM17	1.279	1.196	0.150	0.152	0.013
TGCP_WM21	1.268	1.194	0.154	0.145	-0.064
TGCP_WM14	1.290	1.207	0.159	0.159	0.000
TGCP_WM14	1.299	1.208	0.156	0.164	0.051
TGCP_WM10	1.269	1.193	0.143	0.150	0.047
TGCP_WM13	1.267	1.186	0.146	0.143	-0.022
TGCP_WM10	1.275	1.193	0.145	0.151	0.041
TGCP_WM5	1.273	1.196	0.146	0.152	0.043
TGCP_WM21	1.268	1.194	0.154	0.145	-0.064
TGCP_WM6	1.268	1.189	0.142	0.148	0.037
TGCP_WM11	1.278	1.197	0.149	0.152	0.019
TGCP_WM16	1.288	1.204	0.161	0.155	-0.035
TGCP_WM16	1.296	1.204	0.163	0.157	-0.033
