Population	Num	Eff_num	Ho	Hs	Gis
PTP_WM732	1.095	1.068	0.056	0.051	-0.097
PTP_WM722	1.077	1.056	0.036	0.046	0.213
PTP_WM738	1.114	1.079	0.060	0.062	0.023
PTP_WM727	1.080	1.056	0.040	0.045	0.107
PTP_WM733	1.081	1.057	0.044	0.044	-0.008
PTP_WM739	1.126	1.089	0.066	0.070	0.052
PTP_WM721	1.077	1.055	0.034	0.046	0.259
PTP_WM722	1.105	1.074	0.052	0.060	0.132
PTP_WM732	1.100	1.071	0.054	0.055	0.016
PTP_WM724	1.088	1.064	0.047	0.050	0.052
PTP_WM727	1.081	1.058	0.040	0.047	0.138
PTP_WM722	1.080	1.060	0.038	0.049	0.228
PTP_WM721	1.079	1.060	0.040	0.047	0.147
PTP_WM725	1.073	1.053	0.035	0.043	0.175
PTP_WM721	1.081	1.059	0.042	0.046	0.096
PTP_WM735	1.094	1.069	0.045	0.056	0.189
PTP_WM730	1.093	1.066	0.047	0.052	0.099
PTP_WM726	1.080	1.057	0.044	0.044	0.005
PTP_WM731	1.088	1.063	0.049	0.048	-0.005
PTP_WM729	1.076	1.054	0.039	0.043	0.107
PTP_WM721	1.073	1.054	0.032	0.045	0.293
PTP_WM723	1.078	1.059	0.034	0.050	0.322
PTP_WM725	1.082	1.058	0.040	0.047	0.155
PTP_WM728	1.103	1.074	0.054	0.058	0.080
PTP_WM721	1.075	1.055	0.037	0.044	0.155
PTP_WM730	1.108	1.076	0.053	0.061	0.145
PTP_WM722	1.077	1.056	0.036	0.046	0.213
PTP_WM725	1.098	1.070	0.047	0.057	0.182
PTP_WM733	1.103	1.072	0.057	0.055	-0.033
PTP_WM722	1.101	1.072	0.051	0.057	0.119
PTP_WM724	1.088	1.064	0.047	0.050	0.052
PTP_WM721	1.071	1.052	0.033	0.043	0.224
PTP_WM730	1.108	1.076	0.053	0.061	0.145
PTP_WM722	1.091	1.067	0.045	0.054	0.168
PTP_WM736	1.123	1.090	0.067	0.069	0.034
PTP_WM721	1.091	1.064	0.048	0.050	0.051
PTP_WM735	1.110	1.077	0.052	0.063	0.169
PTP_WM735	1.084	1.061	0.040	0.049	0.180
PTP_WM726	1.072	1.054	0.033	0.044	0.265
PTP_WM726	1.077	1.055	0.041	0.043	0.060
PTP_WM735	1.098	1.069	0.050	0.055	0.080
PTP_WM722	1.077	1.056	0.036	0.046	0.213
PTP_WM725	1.088	1.063	0.043	0.051	0.158
PTP_WM729	1.080	1.058	0.038	0.047	0.198
PTP_WM726	1.084	1.061	0.041	0.049	0.171
PTP_WM721	1.086	1.063	0.040	0.052	0.238
PTP_WM736	1.115	1.084	0.063	0.064	0.021
PTP_WM730	1.087	1.062	0.042	0.050	0.154
PTP_WM735	1.100	1.073	0.048	0.059	0.190
PTP_WM727	1.080	1.056	0.040	0.045	0.107
PTP_WM721	1.091	1.064	0.048	0.050	0.051
PTP_WM727	1.075	1.055	0.035	0.045	0.209
PTP_WM734	1.093	1.068	0.049	0.053	0.079
PTP_WM723	1.100	1.071	0.048	0.058	0.169
PTP_WM732	1.100	1.071	0.054	0.055	0.016
PTP_WM723	1.083	1.062	0.037	0.052	0.293
PTP_WM737	1.099	1.071	0.050	0.057	0.120
PTP_WM722	1.077	1.056	0.036	0.046	0.218
PTP_WM737	1.101	1.071	0.051	0.057	0.098
PTP_WM722	1.109	1.077	0.055	0.062	0.117
PTP_WM722	1.078	1.057	0.035	0.047	0.256
PTP_WM730	1.108	1.076	0.056	0.060	0.069
PTP_WM736	1.123	1.090	0.067	0.069	0.034
PTP_WM728	1.079	1.057	0.042	0.044	0.050
PTP_WM724	1.088	1.064	0.047	0.050	0.052
PTP_WM730	1.100	1.071	0.051	0.057	0.103
PTP_WM722	1.101	1.072	0.051	0.057	0.119
PTP_WM728	1.088	1.064	0.046	0.050	0.076
PTP_WM733	1.103	1.072	0.057	0.055	-0.033
PTP_WM734	1.105	1.075	0.057	0.058	0.012
PTP_WM728	1.087	1.063	0.044	0.050	0.118
PTP_WM724	1.093	1.066	0.046	0.053	0.133
PTP_WM723	1.104	1.073	0.050	0.060	0.165
PTP_WM721	1.073	1.054	0.032	0.045	0.293
PTP_WM724	1.088	1.064	0.047	0.050	0.052
PTP_WM725	1.088	1.065	0.042	0.053	0.205
PTP_WM734	1.112	1.079	0.057	0.062	0.085
PTP_WM733	1.105	1.074	0.055	0.058	0.051
PTP_WM740	1.120	1.086	0.063	0.067	0.055
