scenario      C1             C2             C3             C4             t2             CA2      
   1           7295           9872           1848         71.598            589           9999
   1           6964           9821           1548         50.526            491           9999
   1           6250           9921           1634         68.665            428           9992
   1           6568           9823           1680         43.085            462           9994
   1           6494           9951           2053         65.373            522          10000
   1           7306           9981           2096         62.558            579           9999
   1           7639           9983           2897         79.543            722           9999
   1           6753           9891           1624         76.814            469           9999
   1           7510           9850           1982         68.926            572           9999
   1           7840           9966           1837         74.768            616           9999
   1           6950           9951           2056         60.992            512           9998
   1           7032           9940           1676         69.321            515           9999
   1           8917           9975           2521            112            659          10000
   1           7551           9956           2161            146            666           9999
   1           7000           9774           1754         64.423            436           9999
   1           7359           9938           2094            127            667           9999
   1           7501           9699           2046            104            496           9975
   1           5112           9672           1334         27.862            344           9999
   1           6858           9953           2073         68.470            484           9999
   1           5495           9008           1249         47.310            288           9997
   1           7266           9887           1709         78.885            526           9998
   1           6600           9814           1722         60.772            533           9999
   1           4425           9305            717         28.684            243           9999
   1           7211           9945           2248         91.329            636           9999
   1           7739           9934           2114         64.877            642           9999
   1           9844           9997           2381         70.873            690          10000
   1           7813           9956           2681            303            608           9999
   1           6316           9928           1470         73.721            471           9999
   1           7015           9776           1771         75.788            467           9999
   1           7693           9976           2975         99.193            613           9999
   1           7425           9962           2026         71.226            592           9999
   1           5893           9776           1459         35.556            437           9999
   1           6966           9913           1501         82.725            610           9999
   1           7200           9988           2622            126            660          10000
   1           6646           9790           1886         62.525            512           9998
   1           6335           9830           1552         52.994            480           9999
   1           5608           9260           1173         21.779            303           9999
   1           7331           9981           2104         83.088            541           9999
   1           6025           9845           1719         64.010            505           9999
   1           6705           9865           1792         52.880            484           9999
   1           7308           9938           2182            231            590           9999
   1           5069           9708           1266         45.672            372           9999
   1           5148           9715           1302         42.141            353           9973
   1           6991           9898           2042         84.813            591           9999
   1           7167           9966           2236            109            610           9999
   1           6796           9812           1482         54.240            455           9999
   1           7687           9997           2436            107            700           9998
   1           4529           9653           1329         33.972            338           9998
   1           6552           9827           1883         62.693            483           9999
   1           7175           9870           1850         61.240            510           9999
   1           4326           9458            939         37.418            314           9999
   1           7370           9935           1791         81.916            584           9999
   1           7406           9992           2409         81.380            549          10000
   1           6006           9771           1466         45.314            424           9998
   1           6914           9933           2515         72.621            550          10000
   1           7336           9896           1941            252            589          10000
   1           4560           9498           1154         17.460            225           9999
   1           6908           9844           2252         70.057            539           9999
   1           6374           9615           1784         52.244            419           9999
   1           6853           9935           1998            132            561           9999
   1           6999           9890           1741         73.358            462           9999
   1           5849           9502           1324         33.545            370           9999
   1           6806           9761           1630         51.169            438           9999
   1           6691           9877           1976         78.955            494           9999
   1           6712           9858           1703         53.794            433           9999
   1           5533           9821           1245         44.893            474           9998
   1           7489           9999           2527         74.350            685           9998
   1           7820           9877           2599            101            613           9999
   1           5854           9344           1259         54.893            339           9997
   1           6575           9877           2338         43.121            531           9999
   1           7457           9987           1716         81.391            642          10000
   1           7317           9974           2134         88.492            674          10000
   1           6977           9898           1796         45.993            580           9999
   1           7878           9930           2007         92.555            612           9999
   1           7148           9934           1564         69.665            602           9999
   1           6416           9842           1873         50.338            459           9999
   1           7898           9988           2579         80.558            610           9999
   1           6527           9806           1731         50.098            480           9999
   1           7007           9913           1950         72.903            489           9999
   1           6707           9882           1859         86.445            504          10000
   1           7912           9951           2834         81.097            613           9999
   1           3649           9382            851         22.108            198           9999
   1           7197           9892           1614         73.566            526           9998
   1           6947           9886           2031            217            481           9998
   1           7447           9938           2524         73.273            730           9999
   1           8467           9967           3703           3037            837          10000
   1           5679           9857           1692         45.379            449           9994
   1           6563           9726           1437         41.413            443           9999
   1           6203           9760           1607         37.866            426           9999
   1           7432           9959           3114         75.398            631           9999
   1           7569           9979           2498         84.393            682           9999
   1           7296           9964           1788         63.155            549           9999
   1           8686           9961           3701            200            920           9997
   1           4066           8925            966         22.069            244           9999
   1           6492           9546           1676         46.300            395           9999
   1           5940           9692           1245         30.711            401           9998
   1           7478           9982           2568            738            591           9999
   1           5878           9810           1423         58.347            398           9999
   1           6865           9876           1977            105            526           9999
   1           7291           9926           1844         61.722            499           9999
   1           5662           9858           1547         44.798            463           9999
   1           6631           9748           1937         33.616            438           9999
   1           6892           9863           1800         47.209            455           9999
   1           6269           9897           1781         56.055            454           9999
   1           8808           9953           2591         87.101            657           9999
   1           5260           9389           1112         27.567            285           9998
   1           5887           9864           1879         52.377            513           9999
   1           8006           9970           2715         95.245            630           9996
   1           5499           9615           1170         33.712            327           9999
   1           5222           9654           1116         32.397            357           9999
   1           7310           9962           2425         97.025            596           9999
   1           8727           9996           2272            112            630          10000
   1           4597           9176            855         17.100            232           9999
   1           9281           9891           1671         58.903            525           9999
   1           6551           9937           1781         95.247            541           9999
   1           6290           9988           1780         67.538            478           9968
   1           5620           9850           1600         50.381            384           9999
   1           7672           9964           2739         71.009            625           9999
   1           6691           9872           1635         58.867            461           9999
   1           6914           9944           1495         78.011            482           9999
