# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	92	9.8678	0.1590	0.0052	0.9730	0.0074	0.0011	0.0380	0.0145	0.0016	0.9620	0.0145	0.0016	0.0378	0.0122	0.0015	0.9622	0.0122	0.0015	0.0399	0.0136	0.0015	0.0057	42.7908	0.0052
MRLP	293	7.6097	0.2380	0.0039	0.9756	0.0061	0.0006	0.0272	0.0082	0.0007	0.9728	0.0082	0.0007	0.0354	0.0106	0.0008	0.9646	0.0106	0.0008	0.0380	0.0122	0.0009	0.0298	42.8684	0.0039
STT	255	9.2088	0.6102	0.0063	0.9803	0.0055	0.0006	0.0241	0.0087	0.0008	0.9759	0.0087	0.0008	0.0276	0.0091	0.0008	0.9724	0.0091	0.0008	0.0293	0.0102	0.0008	0.0142	44.4241	0.0063
FSSP	207	9.1347	0.6384	0.0066	0.9777	0.0060	0.0006	0.0245	0.0078	0.0007	0.9755	0.0078	0.0007	0.0316	0.0101	0.0008	0.9684	0.0101	0.0008	0.0335	0.0113	0.0009	0.0247	43.7432	0.0066
HNL	1102	9.4462	0.5253	0.0057	0.9488	0.0131	0.0009	0.0628	0.0213	0.0011	0.9372	0.0213	0.0011	0.0710	0.0214	0.0011	0.9290	0.0214	0.0011	0.0751	0.0240	0.0012	0.0327	38.2280	0.0057
MPO	187	9.0468	0.6277	0.0067	0.9828	0.0046	0.0006	0.0208	0.0073	0.0007	0.9792	0.0073	0.0007	0.0247	0.0079	0.0008	0.9753	0.0079	0.0008	0.0262	0.0089	0.0008	0.0152	44.7519	0.0067
OICP	162	9.7418	0.2867	0.0040	0.9811	0.0055	0.0006	0.0247	0.0099	0.0007	0.9753	0.0099	0.0007	0.0261	0.0091	0.0007	0.9739	0.0091	0.0007	0.0276	0.0102	0.0008	0.0084	44.9946	0.0040
IRO	481	9.4111	0.4958	0.0053	0.9678	0.0075	0.0007	0.0402	0.0117	0.0008	0.9598	0.0117	0.0008	0.0472	0.0132	0.0009	0.9528	0.0132	0.0009	0.0500	0.0148	0.0009	0.0291	40.0279	0.0053
HGRF	98	9.1957	0.5969	0.0060	0.9907	0.0029	0.0004	0.0111	0.0048	0.0005	0.9889	0.0048	0.0005	0.0126	0.0046	0.0005	0.9874	0.0046	0.0005	0.0134	0.0052	0.0006	0.0063	47.0369	0.0060
PTP	43	8.8199	0.5980	0.0074	0.9917	0.0024	0.0005	0.0095	0.0041	0.0006	0.9905	0.0041	0.0006	0.0116	0.0041	0.0006	0.9884	0.0041	0.0006	0.0124	0.0046	0.0007	0.0088	47.1927	0.0074
RRL	536	9.3777	0.5195	0.0054	0.9665	0.0078	0.0007	0.0425	0.0126	0.0008	0.9575	0.0126	0.0008	0.0492	0.0138	0.0009	0.9508	0.0138	0.0009	0.0520	0.0155	0.0009	0.0279	39.8250	0.0054
RRO	354	9.3269	0.5681	0.0058	0.9714	0.0078	0.0007	0.0313	0.0105	0.0008	0.9687	0.0105	0.0008	0.0400	0.0129	0.0009	0.9600	0.0129	0.0009	0.0424	0.0145	0.0009	0.0319	42.7169	0.0058
CPS	700	9.3635	0.5616	0.0058	0.9659	0.0085	0.0007	0.0384	0.0116	0.0008	0.9616	0.0116	0.0008	0.0489	0.0146	0.0009	0.9511	0.0146	0.0009	0.0518	0.0164	0.0010	0.0368	40.7809	0.0058
PPNP	633	9.3922	0.5320	0.0058	0.9687	0.0091	0.0008	0.0367	0.0144	0.0009	0.9633	0.0144	0.0009	0.0424	0.0145	0.0009	0.9576	0.0145	0.0009	0.0450	0.0163	0.0010	0.0222	42.8607	0.0058
FPPI	537	9.2634	0.6021	0.0062	0.9699	0.0084	0.0007	0.0351	0.0129	0.0009	0.9649	0.0129	0.0009	0.0416	0.0137	0.0009	0.9584	0.0137	0.0009	0.0441	0.0154	0.0010	0.0243	42.5489	0.0062
CRWA	330	9.4083	0.5146	0.0054	0.9744	0.0068	0.0006	0.0324	0.0110	0.0008	0.9676	0.0110	0.0008	0.0364	0.0114	0.0008	0.9636	0.0114	0.0008	0.0385	0.0128	0.0009	0.0162	42.7277	0.0054
PCRA	412	9.5937	0.4124	0.0048	0.9670	0.0082	0.0007	0.0417	0.0135	0.0009	0.9583	0.0135	0.0009	0.0473	0.0141	0.0009	0.9527	0.0141	0.0009	0.0500	0.0158	0.0009	0.0233	40.7601	0.0048
DHFA	1272	9.5493	0.4759	0.0054	0.9444	0.0138	0.0009	0.0691	0.0228	0.0012	0.9309	0.0228	0.0012	0.0773	0.0225	0.0012	0.9227	0.0225	0.0012	0.0818	0.0252	0.0012	0.0340	36.9176	0.0054
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	92	633186.0000	5788.0000	744.0000	0.1175	9.8995	0.1231	0.0004	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.0001	48.9433	0.0004
MRLP	293	1885167.0000	15631.0000	2081.0000	0.1104	7.7386	0.1931	0.0003	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9496	0.0003
STT	255	1844077.0000	15173.0000	1478.0000	0.0801	9.4687	0.4930	0.0005	0.9998	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9625	0.0005
FSSP	207	1817103.0000	14546.0000	1659.0000	0.0913	9.3817	0.5409	0.0005	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9582	0.0005
HNL	1102	1842326.0000	16259.0000	3704.0000	0.2011	9.6351	0.3938	0.0005	0.9995	0.0001	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.0003	48.9059	0.0005
MPO	187	1789326.0000	14094.0000	1283.0000	0.0717	9.3373	0.5513	0.0006	0.9999	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9667	0.0006
OICP	162	2001367.0000	17988.0000	1515.0000	0.0757	9.8583	0.1631	0.0003	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9641	0.0003
IRO	481	1998144.0000	17722.0000	3375.0000	0.1689	9.6204	0.3617	0.0004	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0003	48.9211	0.0004
HGRF	98	1943215.0000	16455.0000	691.0000	0.0356	9.4904	0.4548	0.0005	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9834	0.0005
PTP	43	1605770.0000	10913.0000	432.0000	0.0269	9.1035	0.6038	0.0006	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9878	0.0006
RRL	536	1978177.0000	17553.0000	3410.0000	0.1724	9.6043	0.3790	0.0004	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.0002	48.9193	0.0004
RRO	354	1929276.0000	16792.0000	2296.0000	0.1190	9.5445	0.4391	0.0005	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.0003	48.9459	0.0005
CPS	700	1934798.0000	16929.0000	2998.0000	0.1550	9.5712	0.4247	0.0005	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.0003	48.9289	0.0005
PPNP	633	1847737.0000	16072.0000	2111.0000	0.1142	9.6467	0.3584	0.0004	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0002	48.9470	0.0004
FPPI	537	1833526.0000	15492.0000	2141.0000	0.1168	9.5838	0.4129	0.0005	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0002	48.9459	0.0005
CRWA	330	1987130.0000	17527.0000	2321.0000	0.1168	9.6462	0.3472	0.0004	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9449	0.0004
PCRA	412	1992260.0000	17814.0000	3103.0000	0.1558	9.7616	0.2673	0.0004	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0002	48.9268	0.0004
DHFA	1272	1853893.0000	16537.0000	4211.0000	0.2271	9.6825	0.3763	0.0005	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0007	0.0003	0.0000	0.9993	0.0003	0.0000	0.0007	0.0003	0.0000	0.0003	48.8933	0.0005
