scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   3           3603           9292           5926           5999           1231           6373           1764            976
   3           4566           9281           6173           7308           1277           7085           2172           1070
   3           1928           8177           4731           5534            895           3108           1105            545
   3           4114           9817           6345           7258           1460           8830           2409            542
   3           3619           9732           6363           7342           1353           9107           2904            290
   3           3729           9995           5907           6780           1357           7877           2141            741
   3           2692           9115           5038           5302            990           4905           1167            592
   3           2285           9079           5507           5766           1189           4955           1278            452
   3           2775           8912           5505           6077            967           7795           1358           1302
   3           1384           6736           3174           3753            468            570            990            319
   3           3622           8446           5798           6548            968           5638           1657            257
   3           1449           7033           3616           3764            566           4958           1048            597
   3           4035           9735           6040           7604           1393           6549           2645         72.442
   3           2518           9359           4667           5539           1157           4378           1435            812
   3           2768           9813           5712           5901           1154           5043           1436            948
   3           3862           9640           6203           7360           1374           7577           2286           1264
   3           2626           9387           5491           5742           1295           5207           1909            710
   3           2668           9275           5280           6616           1037           7319           1794            354
   3           3457           9730           6265           7148           1477           4501           2148           1293
   3           4844           9919           6703           8995           1489           7858           2541            841
   3           4812           9502           6214           5503           1449           4864           2144            886
   3           2395           8836           5190           4725           1038           6898           1326            624
   3           4097           9832           5402           6665           1319           9632           2318            996
   3           2058           9244           5565           5654           1207           4121           1654            700
   3           2069           8766           5299           6441           1124           5797           1529            503
   3           3142           8166           5014           6380            999           4169           1280            386
   3           4023           9662           5881           6985           1293           4594           1922           1172
   3           2944           9289           5572           6860           1137           6709           1598           1103
   3           3942           9340           5647           5932           1191           7794           2037           1297
   3           3431           9505           5730           6581           1299           5766           2105           1089
   3           2847           9681           5916           6259           1123           8488           2123            745
   3           1804           7043           2923           4310            695           1594            750            218
   3           3893           9961           6386           6849           1587           5888           1973           1114
   3           2746           8543           4960           4827            891           5572           1076            156
   3           3083           9574           5620           7221           1212           6128           1836            762
   3           1885           7541           3631           3841            640           3596            817            581
   3           4930           9663           6214           6463           1456           9914           2433            702
   3           3820           9802           6836           7649           1378           6410           2240           1449
   3           2787           9459           6015           6464           1240           6486           2012         67.778
   3           1979           9060           5015           5978           1137           5961           1495            348
   3           3533           9683           6411           5827           1173           8276           1801            818
   3           2910           9364           5380           6291           1055           9961           1483            492
   3           3574           9633           4715           6394            963           8734           1485           1383
   3           3604           9838           5768           6559           1156           6117           1638            435
   3           3620           9705           5930           6822           1185           6114           1781            946
   3           3505           8980           6269           5445           1304           4908           2010            832
   3           2637           8314           4890           4738            869           5240           1476            439
   3           3817           9834           6566           9031           1414           4175           2265            787
   3           4736           9446           6152           7738           1402           9183           2651            219
   3           3290           9391           5650           5665           1102           3747           1247            228
   3           6985           9505           6450           7667           1318           6943           2502            809
   3           2555           9576           5322           6609           1257           4173           1310           1005
   3           3453           9025           5190           5438           1053           5996           1526           1162
   3           3205           9972           5898           5971           1356           5880           2053            507
   3           2876           8880           5805           6387           1134           2607           1207           1001
   3           3090           9562           6071           6787           1030           9466           2400            336
   3           2741           8358           4753           5776            843           6218           1377            729
   3           3322           8255           5871           5890            861           6810           1800            621
   3           2914           9985           5837           6268           1334           3444           2054           1096
   3           2849           9252           5036           6071           1015           7483           1687            620
   3           4159           9873           6766           7834           1415           6662           2252            871
   3           2862           8676           5256           6278           1145           5361           1570            979
   3           2385           9268           5634           6723           1441           4169           1639            663
   3           3411           9785           5797           6871           1138           9911           2272            283
   3           2015           8427           5174           5919            665           7522           1173            492
   3           4638           9734           6164           7499           1366           5976           2200            884
   3           1723           9211           4769           6168           1209           3799            996            349
   3           3524           9239           5539           6915           1062           7110           2050            807
   3           1438           8123           4487           4997            685           3026            644            302
   3           4444           9652           6591           8394           1295           7630           4123            726
   3           2718           9438           5557           6030           1409           5477           1933            693
   3           3398           9097           6028           6848           1211           8558           1585           1435
   3           1930           7726           5148           5748            817           6743           1312            493
   3           3532           9325           5805           5769           1387           4182           1755           1034
   3           2711           7415           6093           6925            774           9839           1492            483
   3           2720           9081           5929           7053           1233           2233           2077            416
   3           1661           6560           2073           3531            447           1959            414            515
   3           1557           7779           3665           3540            635           3001            898            608
   3           2482           8689           4955           5611           1160           6109           1496            156
   3           3586           9215           4554           5911           1143           2441           1455            557
   3           1734           8687           4678           5323            809           3301           1105            748
   3           2603           9165           5130           5133            853           5259           1074            764
   3           3900           9649           6084           8391           1338           7067           2115           1069
