scenario      C1            C2            C3            C4            t2           CA2            t1           CA1         HP0_1_1       HP0_1_2       HP0_1_3       HP0_1_4       HM1_1_1       HM1_1_2       HM1_1_3       HM1_1_4       HV1_1_1       HV1_1_2       HV1_1_3       HV1_1_4       HMO_1_1       HMO_1_2       HMO_1_3       HMO_1_4      FP0_1_1&2     FP0_1_1&3     FP0_1_1&4     FP0_1_2&3     FP0_1_2&4     FP0_1_3&4     FM1_1_1&2     FM1_1_1&3     FM1_1_1&4     FM1_1_2&3     FM1_1_2&4     FM1_1_3&4     FV1_1_1&2     FV1_1_1&3     FV1_1_1&4     FV1_1_2&3     FV1_1_2&4     FV1_1_3&4     FMO_1_1&2     FMO_1_1&3     FMO_1_1&4     FMO_1_2&3     FMO_1_2&4     FMO_1_3&4     NP0_1_1&2     NP0_1_1&3     NP0_1_1&4     NP0_1_2&3     NP0_1_2&4     NP0_1_3&4     NM1_1_1&2     NM1_1_1&3     NM1_1_1&4     NM1_1_2&3     NM1_1_2&4     NM1_1_3&4     NV1_1_1&2     NV1_1_1&3     NV1_1_1&4     NV1_1_2&3     NV1_1_2&4     NV1_1_3&4     NMO_1_1&2     NMO_1_1&3     NMO_1_1&4     NMO_1_2&3     NMO_1_2&4     NMO_1_3&4   
  3            1648          8915          4552          6503          2139           420          1077          7855      0.816304      0.563768      0.793116      0.751449      0.143148      0.072393      0.144935      0.124267      0.020042      0.008069      0.014943      0.011621      0.026296      0.031580      0.029985      0.030887      0.465217      0.694203      0.650362      0.641667      0.600000      0.709783      0.042785      0.118088      0.101130      0.076714      0.066061      0.059884      0.006124      0.018202      0.014047      0.009800      0.006271      0.008060      0.022880      0.036111      0.035359      0.027489      0.026424      0.020547      0.415580      0.621377      0.580797      0.375362      0.334420      0.560870      0.009155      0.021135      0.018003      0.006372      0.005082      0.011997      0.002653      0.006145      0.005810      0.000743      0.000623      0.002593      0.005350      0.008002      0.007547      0.003980      0.003382      0.005273
  3            4767          9451          6245          7900          2333           576          1362          5940      0.730072      0.615580      0.794928      0.762319      0.090242      0.076804      0.139734      0.125724      0.012481      0.008934      0.014617      0.012063      0.024359      0.029525      0.028656      0.029882      0.501087      0.698913      0.664130      0.663768      0.626449      0.731159      0.031381      0.090693      0.083919      0.071481      0.066040      0.051691      0.002054      0.011789      0.008918      0.008220      0.007012      0.005386      0.015702      0.027306      0.028186      0.024034      0.024669      0.016369      0.390580      0.546377      0.514130      0.433333      0.402899      0.581159      0.003598      0.009547      0.008302      0.006146      0.006107      0.009457      0.000402      0.001940      0.001574      0.000911      0.001030      0.001645      0.002193      0.004331      0.004034      0.003483      0.003646      0.003961
  3             912          5455          3919          3612          1108           280           437          9319      0.835870      0.528261      0.762319      0.782246      0.157410      0.065804      0.121890      0.128460      0.023695      0.007091      0.011253      0.012932      0.025836      0.031042      0.028971      0.027973      0.454710      0.678261      0.694203      0.617754      0.633333      0.722464      0.036343      0.089889      0.094123      0.056269      0.058237      0.045739      0.004115      0.008072      0.010197      0.004451      0.005583      0.004723      0.019844      0.028921      0.028783      0.021509      0.021354      0.015097      0.405435      0.617029      0.635507      0.315217      0.334783      0.565217      0.006603      0.012469      0.014987      0.002945      0.004211      0.008356      0.001076      0.001978      0.002960      0.000192      0.000635      0.001470      0.003926      0.004775      0.005463      0.002017      0.002801      0.003633
  3            2235          9458          5526          5851          1994           703          1256          6063      0.796014      0.559420      0.769203      0.775725      0.133633      0.072759      0.142799      0.135514      0.020782      0.008333      0.015365      0.014180      0.027259      0.032056      0.032958      0.030392      0.452174      0.680072      0.684058      0.626087      0.628261      0.728985      0.039233      0.104547      0.100925      0.069012      0.064089      0.051382      0.004441      0.014159      0.013061      0.008014      0.007470      0.005626      0.021521      0.033448      0.031886      0.025804      0.023824      0.017462      0.391304      0.588768      0.593841      0.358696      0.364130      0.572826      0.007651      0.016798      0.015932      0.006097      0.005444      0.009168      0.001406      0.004634      0.003930      0.001040      0.000834      0.001240      0.004657      0.006908      0.006471      0.003910      0.003462      0.003916
  3            4474          9975          7522          8034          2842           742          1325          7013      0.745652      0.616667      0.767754      0.768841      0.114319      0.079234      0.132131      0.128448      0.015469      0.009203      0.012945      0.012138      0.029077      0.030373      0.030687      0.029692      0.499638      0.653261      0.650725      0.626449      0.627174      0.713406      0.036737      0.090050      0.085385      0.072567      0.067826      0.047940      0.002741      0.008886      0.009221      0.007747      0.006457      0.005106      0.018422      0.031224      0.029823      0.027107      0.025287      0.017092      0.419928      0.532971      0.534783      0.404348      0.406522      0.556159      0.004986      0.009494      0.009967      0.006734      0.006506      0.008444      0.000417      0.001155      0.002148      0.001310      0.001250      0.001745      0.002892      0.004437      0.004637      0.004011      0.003861      0.003748
  3            4688          9770          6404          8593          2415           711          1482          7490      0.723551      0.623913      0.782971      0.755435      0.104419      0.081126      0.149596      0.130680      0.014777      0.011158      0.016033      0.014553      0.028866      0.030510      0.032467      0.031960      0.492029      0.673188      0.644928      0.660870      0.630797      0.722464      0.034835      0.094153      0.080848      0.077477      0.065308      0.051699      0.002784      0.012062      0.009008      0.009705      0.006652      0.006136      0.017720      0.030770      0.028707      0.026275      0.024112      0.017982      0.397464      0.531522      0.505435      0.437319      0.409420      0.565942      0.004670      0.010704      0.008735      0.008043      0.006045      0.010513      0.000437      0.001753      0.001520      0.001364      0.000817      0.001591      0.002814      0.005014      0.004320      0.004526      0.003570      0.004567
  3            2383          8952          4692          5568          1936           188          1098          4053      0.786957      0.570652      0.799638      0.798551      0.109823      0.065854      0.127932      0.118576      0.014782      0.005702      0.011136      0.009956      0.023397      0.028274      0.025633      0.023887      0.455435      0.689493      0.687681      0.642391      0.639855      0.741667      0.036302      0.096854      0.086552      0.070690      0.063237      0.050734      0.003368      0.012033      0.009132      0.008546      0.006111      0.005163      0.019821      0.030074      0.027032      0.025279      0.022774      0.016452      0.386232      0.593116      0.591667      0.377536      0.376087      0.603985      0.004977      0.011275      0.009172      0.004783      0.003506      0.007705      0.000691      0.001930      0.001394      0.000656      0.000209      0.000733      0.003055      0.004588      0.003745      0.002977      0.002187      0.003051
  3            2816          8729          3941          3976          1340           374          1125          3658      0.741667      0.557971      0.805435      0.801087      0.104520      0.065018      0.137943      0.139291      0.014826      0.008301      0.013949      0.013433      0.027001      0.028740      0.026839      0.027707      0.422464      0.706159      0.703986      0.691304      0.679710      0.761232      0.030962      0.088317      0.087387      0.061531      0.062703      0.050591      0.003040      0.009930      0.009522      0.006594      0.006923      0.005512      0.017949      0.025951      0.025868      0.018994      0.020083      0.014957      0.333696      0.572101      0.568478      0.391667      0.387319      0.631522      0.004908      0.009932      0.010137      0.004072      0.004823      0.010026      0.000812      0.001636      0.001999      0.000541      0.000866      0.001903      0.003270      0.004250      0.004374      0.002477      0.002955      0.003694
  3            2528          9094          5371          6247          1652           453          1088          4362      0.765942      0.591667      0.793478      0.770290      0.109980      0.064841      0.127644      0.122636      0.015488      0.007814      0.012683      0.011697      0.025742      0.026477      0.026361      0.028171      0.472101      0.693116      0.669565      0.685145      0.656522      0.733333      0.031956      0.085809      0.083987      0.062498      0.062625      0.041131      0.002791      0.008674      0.008644      0.005351      0.005925      0.003452      0.016927      0.026333      0.027752      0.019678      0.021510      0.013725      0.389493      0.578623      0.553261      0.408333      0.383333      0.584420      0.004411      0.009637      0.008983      0.004319      0.004367      0.007059      0.000474      0.001515      0.001499      0.000459      0.000673      0.000904      0.002693      0.004061      0.004013      0.002555      0.002695      0.002936
  3            4246          9537          5740          8579          2412          1385          1347          9628      0.726449      0.587319      0.781159      0.725725      0.127859      0.093508      0.160641      0.145961      0.019590      0.014265      0.018944      0.016751      0.034976      0.038589      0.035155      0.040034      0.467391      0.680072      0.635507      0.659058      0.609420      0.704710      0.037270      0.096697      0.086058      0.074533      0.068697      0.054426      0.003135      0.012217      0.008936      0.008578      0.006422      0.007689      0.019891      0.030936      0.031368      0.025412      0.026832      0.019246      0.384783      0.548188      0.500362      0.414855      0.367754      0.551812      0.006733      0.015206      0.012076      0.009137      0.008362      0.013886      0.000916      0.002903      0.002762      0.001684      0.001456      0.003276      0.004142      0.006870      0.006033      0.005346      0.005287      0.006224
