	TGCP	MRLP	STT	FSSP	HNL	MPO	OICP	IRO	HGRF	PTP	RRL	RRO	CPS	PPNP	FPPI	CRWA	PCRA	DHFA
TGCP		0.114259	0.179111	0.13623	0.449922	0.173158	0.0984263	0.0927698	0.170779	0.162477	0.110091	0.176527	0.142583	0.554715	0.526417	0.13061	0.126366	0.429243
MRLP			0.15212	0.114917	0.460711	0.150658	0.157859	0.124519	0.184239	0.166088	0.104288	0.206089	0.177403	0.521517	0.510326	0.178408	0.0891668	0.438531
STT				0.151961	0.487417	0.0538313	0.235286	0.118704	0.26558	0.234281	0.13069	0.23789	0.157449	0.577676	0.53667	0.217603	0.141002	0.455901
FSSP					0.476691	0.149548	0.183303	0.10181	0.194338	0.177652	0.116656	0.218781	0.143853	0.562501	0.518489	0.179922	0.119618	0.444018
HNL						0.494115	0.496268	0.410657	0.552003	0.54189	0.401062	0.448129	0.441195	0.220544	0.257053	0.451883	0.415422	0.161812
MPO							0.23375	0.121967	0.261741	0.242685	0.131898	0.243362	0.161891	0.586184	0.543313	0.221233	0.140708	0.460459
OICP								0.130351	0.20886	0.196543	0.146336	0.237198	0.188141	0.60709	0.586549	0.197593	0.146902	0.467283
IRO									0.199177	0.138286	0.0698445	0.133828	0.0954911	0.469481	0.476896	0.103958	0.0771539	0.380911
HGRF										0.150112	0.18079	0.321497	0.263297	0.646265	0.637559	0.280365	0.18015	0.525589
PTP											0.154047	0.279567	0.193701	0.655461	0.609843	0.233538	0.164935	0.509007
RRL												0.112862	0.0899397	0.476214	0.45439	0.11541	0.0777139	0.387338
RRO													0.184365	0.539847	0.53878	0.155544	0.131477	0.450428
CPS														0.492712	0.498024	0.18994	0.122392	0.402568
PPNP															0.218664	0.543886	0.499979	0.20994
FPPI																0.54403	0.478487	0.238015
CRWA																	0.119857	0.453793
PCRA																		0.399214
