# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP1	49	1.0000	0.0000	0.0000	0.9739	0.0124	0.0007	0.0522	0.0495	0.0014	0.9478	0.0495	0.0014	0.0261	0.0124	0.0007	0.9739	0.0124	0.0007	0.0522	0.0495	0.0014	0.0000	46.4433	0.0000
TGCP2	48	1.0000	0.0000	0.0000	0.9733	0.0126	0.0007	0.0534	0.0506	0.0014	0.9466	0.0506	0.0014	0.0267	0.0126	0.0007	0.9733	0.0126	0.0007	0.0534	0.0506	0.0014	0.0000	46.3848	0.0000
TGCP3	5	1.0000	0.0000	0.0000	0.9778	0.0106	0.0006	0.0444	0.0424	0.0013	0.9556	0.0424	0.0013	0.0222	0.0106	0.0006	0.9778	0.0106	0.0006	0.0444	0.0424	0.0013	0.0000	46.8280	0.0000
TGCP4	4	1.0000	0.0000	0.0000	0.9782	0.0104	0.0006	0.0437	0.0418	0.0013	0.9563	0.0418	0.0013	0.0218	0.0104	0.0006	0.9782	0.0104	0.0006	0.0437	0.0418	0.0013	0.0000	46.8609	0.0000
TGCP5	4	1.0000	0.0000	0.0000	0.9779	0.0106	0.0006	0.0442	0.0422	0.0013	0.9558	0.0422	0.0013	0.0221	0.0106	0.0006	0.9779	0.0106	0.0006	0.0442	0.0422	0.0013	0.0000	46.8368	0.0000
TGCP6	2	1.0000	0.0000	0.0000	0.9776	0.0107	0.0006	0.0448	0.0428	0.0013	0.9552	0.0428	0.0013	0.0224	0.0107	0.0006	0.9776	0.0107	0.0006	0.0448	0.0428	0.0013	0.0000	46.8063	0.0000
TGCP7	3	1.0000	0.0000	0.0000	0.9777	0.0107	0.0006	0.0446	0.0426	0.0013	0.9554	0.0426	0.0013	0.0223	0.0107	0.0006	0.9777	0.0107	0.0006	0.0446	0.0426	0.0013	0.0000	46.8162	0.0000
TGCP8	1	1.0000	0.0000	0.0000	0.9792	0.0100	0.0006	0.0416	0.0398	0.0012	0.9584	0.0398	0.0012	0.0208	0.0100	0.0006	0.9792	0.0100	0.0006	0.0416	0.0398	0.0012	0.0000	46.9656	0.0000
TGCP9	33	1.0000	0.0000	0.0000	0.9778	0.0106	0.0006	0.0445	0.0425	0.0013	0.9555	0.0425	0.0013	0.0222	0.0106	0.0006	0.9778	0.0106	0.0006	0.0445	0.0425	0.0013	0.0000	46.8237	0.0000
TGCP10	6	1.0000	0.0000	0.0000	0.9781	0.0105	0.0006	0.0437	0.0418	0.0013	0.9563	0.0418	0.0013	0.0219	0.0105	0.0006	0.9781	0.0105	0.0006	0.0437	0.0418	0.0013	0.0000	46.8596	0.0000
