Population	Num	Eff_num	Ho	Hs	Gis
STT_WM189	1.332	1.179	0.125	0.128	0.019
STT_WM187	1.317	1.169	0.112	0.124	0.101
STT_WM186	1.275	1.152	0.095	0.113	0.159
STT_WM184	1.340	1.180	0.124	0.130	0.045
STT_WM185	1.289	1.160	0.100	0.119	0.159
STT_WM185	1.252	1.142	0.086	0.107	0.190
STT_WM187	1.275	1.155	0.097	0.114	0.151
STT_WM185	1.311	1.171	0.113	0.125	0.098
STT_WM193	1.303	1.165	0.111	0.120	0.070
STT_WM193	1.356	1.185	0.130	0.134	0.035
STT_WM186	1.276	1.152	0.097	0.114	0.142
STT_WM186	1.313	1.167	0.113	0.123	0.083
STT_WM195	1.352	1.179	0.124	0.132	0.060
STT_WM189	1.370	1.189	0.137	0.137	-0.006
STT_WM185	1.307	1.167	0.108	0.122	0.114
STT_WM187	1.288	1.161	0.107	0.117	0.082
STT_WM184	1.357	1.188	0.131	0.137	0.043
STT_WM188	1.355	1.182	0.128	0.133	0.035
STT_WM185	1.242	1.139	0.082	0.105	0.221
STT_WM183	1.287	1.157	0.102	0.116	0.118
STT_WM187	1.314	1.168	0.114	0.124	0.080
STT_WM184	1.357	1.184	0.131	0.134	0.025
STT_WM191	1.326	1.174	0.121	0.127	0.051
STT_WM188	1.305	1.170	0.113	0.124	0.091
STT_WM189	1.334	1.182	0.125	0.131	0.047
STT_WM183	1.326	1.176	0.114	0.129	0.112
STT_WM192	1.275	1.153	0.096	0.113	0.152
STT_WM189	1.346	1.183	0.125	0.133	0.065
STT_WM190	1.252	1.139	0.088	0.105	0.160
STT_WM185	1.301	1.166	0.109	0.122	0.109
STT_WM192	1.319	1.170	0.110	0.126	0.123
STT_WM185	1.264	1.151	0.092	0.112	0.175
STT_WM185	1.280	1.153	0.102	0.112	0.091
STT_WM183	1.279	1.154	0.098	0.114	0.144
STT_WM195	1.319	1.169	0.114	0.124	0.077
STT_WM185	1.301	1.162	0.108	0.119	0.090
STT_WM184	1.303	1.164	0.108	0.120	0.102
STT_WM193	1.293	1.156	0.104	0.115	0.094
STT_WM186	1.286	1.159	0.103	0.117	0.120
STT_WM183	1.318	1.172	0.120	0.124	0.031
STT_WM184	1.353	1.186	0.125	0.135	0.076
STT_WM188	1.326	1.173	0.118	0.126	0.067
STT_WM185	1.269	1.151	0.099	0.111	0.108
STT_WM184	1.369	1.194	0.135	0.140	0.031
STT_WM185	1.257	1.145	0.089	0.109	0.183
STT_WM185	1.278	1.157	0.104	0.114	0.090
STT_WM185	1.283	1.156	0.100	0.115	0.132
STT_WM184	1.313	1.168	0.114	0.123	0.075
STT_WM185	1.257	1.144	0.090	0.107	0.166
STT_WM192	1.309	1.166	0.111	0.121	0.087
STT_WM186	1.307	1.170	0.107	0.126	0.147
STT_WM186	1.341	1.179	0.124	0.132	0.063
STT_WM187	1.326	1.175	0.117	0.128	0.086
STT_WM184	1.369	1.193	0.137	0.139	0.012
STT_WM185	1.274	1.155	0.095	0.115	0.177
STT_WM193	1.348	1.184	0.125	0.134	0.065
STT_WM183	1.364	1.189	0.129	0.137	0.062
STT_WM183	1.293	1.159	0.102	0.117	0.131
STT_WM183	1.281	1.155	0.097	0.115	0.159
STT_WM185	1.300	1.163	0.111	0.119	0.064
STT_WM189	1.283	1.153	0.106	0.112	0.059
STT_WM183	1.333	1.175	0.120	0.128	0.058
STT_WM183	1.328	1.170	0.121	0.124	0.027
STT_WM196	1.342	1.179	0.125	0.130	0.037
STT_WM188	1.379	1.200	0.139	0.144	0.032
STT_WM195	1.349	1.182	0.127	0.132	0.036
STT_WM190	1.331	1.173	0.117	0.128	0.086
STT_WM191	1.311	1.166	0.110	0.123	0.100
STT_WM184	1.313	1.171	0.116	0.123	0.056
STT_WM183	1.282	1.156	0.097	0.115	0.158
STT_WM192	1.346	1.181	0.125	0.133	0.065
STT_WM184	1.341	1.181	0.126	0.131	0.042
STT_WM186	1.351	1.186	0.130	0.134	0.034
STT_WM184	1.328	1.177	0.124	0.127	0.028
STT_WM188	1.305	1.170	0.113	0.124	0.091
STT_WM186	1.314	1.175	0.112	0.128	0.122
STT_WM183	1.320	1.172	0.115	0.124	0.071
STT_WM185	1.309	1.172	0.114	0.125	0.086
STT_WM187	1.387	1.196	0.138	0.144	0.037
STT_WM190	1.360	1.185	0.129	0.136	0.048
STT_WM183	1.294	1.162	0.107	0.119	0.098
STT_WM197	1.337	1.176	0.122	0.127	0.039
STT_WM185	1.290	1.161	0.101	0.119	0.149
STT_WM186	1.347	1.186	0.126	0.135	0.073
STT_WM185	1.345	1.185	0.123	0.136	0.095
STT_WM188	1.318	1.169	0.117	0.123	0.055
STT_WM184	1.290	1.157	0.104	0.116	0.102
STT_WM189	1.292	1.159	0.108	0.117	0.074
STT_WM185	1.279	1.156	0.099	0.115	0.143
STT_WM192	1.309	1.163	0.110	0.121	0.093
STT_WM188	1.312	1.173	0.116	0.125	0.070
STT_WM188	1.339	1.179	0.126	0.130	0.028
STT_WM189	1.300	1.160	0.107	0.118	0.088
STT_WM183	1.330	1.174	0.116	0.127	0.085
STT_WM194	1.297	1.161	0.107	0.118	0.096
STT_WM192	1.335	1.177	0.118	0.130	0.096
STT_WM194	1.338	1.183	0.125	0.131	0.052
STT_WM190	1.254	1.142	0.086	0.107	0.198
STT_WM187	1.343	1.183	0.125	0.133	0.054
STT_WM189	1.290	1.161	0.103	0.118	0.126
