Shell_Width_2	Population
17.47	TGCP
16.94	TGCP
18.55	TGCP
15.92	TGCP
17.03	TGCP
17.95	TGCP
17.18	TGCP
16.88	TGCP
17.82	TGCP
17.17	TGCP
16.25	TGCP
17.51	TGCP
16.6	TGCP
17.84	TGCP
17.5	TGCP
17.98	TGCP
18.39	TGCP
18.33	TGCP
19.33	BHP
18.18	BHP
16.6	BHP
17.06	BHP
17.66	BHP
17.14	BHP
16.77	BHP
16.66	BHP
16.32	BHP
15.04	BHP
19.62	MRLP
18.86	MRLP
17.42	MRLP
17.4	MRLP
17.68	MRLP
18.8	MRLP
18.51	MRLP
19.16	MRLP
17.86	MRLP
17.91	MRLP
17.5	STT
18.5	STT
17.67	STT
18.16	STT
16.61	STT
17.18	STT
19.25	STT
17.96	STT
17.53	STT
16.54	STT
16.85	FSSP
16.8	FSSP
16.98	FSSP
18.45	FSSP
17.34	FSSP
15.21	FSSP
16.74	FSSP
18.33	FSSP
16.45	FSSP
16.85	FSSP
17.47	FSSP
16.2	FSSP
17.5	FSSP
16.19	FSSP
17.27	FSSP
16.57	FSSP
16.28	FSSP
15.49	FSSP
18.59	FSSP
16.97	FSSP
17.35	FSSP
16.75	FSSP
18.52	HNL
17.66	HNL
17.42	HNL
18.08	HNL
17.26	HNL
17.77	HNL
18.25	HNL
17.83	HNL
16.12	HNL
19.03	HNL
17.8	HNL
17.79	HNL
18.56	HNL
16.78	HNL
18.7	HNL
19.63	HNL
18.54	HNL
20.14	HNL
19.7	HNL
18.03	HNL
18.45	HNL
18.1	HNL
17.77	HNL
15.76	HNL
16.77	HNL
17.37	HNL
16.45	HNL
17.85	HNL
18.03	HNL
17.72	HNL
17.9	HNL
18.46	HNL
17.52	HNL
16.31	NRVP
17.19	NRVP
16.83	NRVP
17.41	NRVP
16.35	NRVP
16.45	NRVP
15.72	NRVP
17.76	NRVP
15.86	NRVP
18.86	NRVP
16.97	NRVP
16.14	NRVP
16.05	NRVP
16.26	NRVP
16.43	NRVP
16.02	NRVP
16.09	NRVP
16.23	NRVP
16.74	NRVP
17.08	NRVP
15.92	NRVP
18.03	PPFD
16.14	PPFD
17.74	PPFD
17.19	PPFD
17.25	PPFD
18.95	PPFD
16.49	PPFD
17.26	PPFD
15.95	PPFD
16.55	PPFD
16.97	PPFD
16.13	PPFD
17.79	PPFD
16.69	PPFD
16.44	PPFD
18.11	PPFD
16.57	PPFD
18.53	PPFD
17.41	PPFD
17.42	PPFD
17.56	PPFD
17.56	PPFD
17.6	PPFD
16.23	PPFD
17.27	PPFD
17.86	PPFD
16.32	MPO
17.58	MPO
16.99	MPO
17.3	MPO
18.12	MPO
15.35	MPO
16.91	MPO
16.08	MPO
13.94	MPO
16.87	MPO
17.56	MPO
16.57	MPO
17.02	MPO
16.3	MPO
17.5	MPO
16.65	MPO
16.51	MPO
15.82	MPO
17.51	MPO
17.05	MPO
16.62	MPO
18.61	MPO
15.69	MPO
15.83	MPO
16.77	OICP
16.23	OICP
15.3	OICP
16.4	OICP
17.05	OICP
16.08	OICP
15.82	OICP
16.78	OICP
16.89	OICP
17.59	OICP
15.85	OICP
15.99	OICP
16	OICP
15.93	OICP
15.76	OICP
17.44	OICP
17.39	OICP
13.78	OICP
16.91	OICP
16.26	OICP
16.04	OICP
15.63	OICP
17.65	OICP
19.79	IRO
19.46	IRO
18.67	IRO
19.39	IRO
21.19	IRO
18.48	IRO
18.34	IRO
17.64	IRO
17.68	IRO
18.19	IRO
20.09	IRO
19.34	IRO
18.48	IRO
15.48	HGRF
16.11	HGRF
15.61	HGRF
15.91	HGRF
14.68	HGRF
15.66	HGRF
14.78	HGRF
16.19	HGRF
15.26	HGRF
15.24	HGRF
14.01	HGRF
13.68	HGRF
17.08	HGRF
14.73	HGRF
15.23	HGRF
14.59	HGRF
14.77	HGRF
16.02	HGRF
14.39	HGRF
14.26	HGRF
14.32	HGRF
14.52	HGRF
14.69	HGRF
16.24	PTP
16.04	PTP
15.02	PTP
15.28	PTP
14.8	PTP
15.23	PTP
13.84	PTP
14.64	PTP
14.69	PTP
14.6	PTP
16.43	PTP
14.23	PTP
15.62	PTP
15.61	PTP
15.68	PTP
15.67	PTP
14.89	PTP
15.8	PTP
15.21	PTP
13.51	PTP
14.42	PTP
18.9	RRL
20.68	RRL
19.08	RRL
18.79	RRL
18.87	RRL
20.22	RRL
18.13	RRL
18.53	RRL
18.39	RRL
18.38	RRL
17.18	RRL
17.61	RRL
18.38	RRL
19.08	RRL
19.64	RRL
20.45	RRL
18.83	RRL
19.49	RRL
19.25	RRL
18.91	RRL
17.65	RRL
18.96	RRO
19.17	RRO
17.33	RRO
19.58	RRO
18.07	RRO
18.97	RRO
18.73	RRO
18.27	RRO
18.49	RRO
17.78	RRO
17.58	RRO
17.31	RRO
17.47	RRO
18.87	RRO
16.54	RRO
17.32	RRO
15.72	RRO
17.8	RRO
17.77	RRO
18.65	RRO
18.18	CPS
17.97	CPS
16.38	CPS
17.83	CPS
17.66	CPS
17.48	CPS
15.87	CPS
17.19	CPS
18.21	CPS
18	CPS
17.89	CPS
15.4	CPS
16.17	CPS
18.35	CPS
15.77	CPS
17.25	CPS
17.1	CPS
18.37	CPS
17.68	CPS
16.36	CPS
18.51	CPS
17.47	CPS
17.13	CPS
18.21	PPNP
16.86	PPNP
18.2	PPNP
