Population	Num	Eff_num	Ho	Hs	Gis
PTP_WM722	1.216	1.092	0.058	0.064	0.090
PTP_WM723	1.185	1.083	0.050	0.058	0.130
PTP_WM725	1.185	1.082	0.051	0.057	0.095
PTP_WM723	1.193	1.085	0.052	0.058	0.107
PTP_WM722	1.180	1.082	0.048	0.056	0.139
PTP_WM725	1.179	1.078	0.049	0.054	0.104
PTP_WM721	1.187	1.081	0.052	0.056	0.071
PTP_WM730	1.195	1.086	0.057	0.059	0.030
PTP_WM722	1.179	1.080	0.049	0.055	0.111
PTP_WM723	1.190	1.085	0.054	0.058	0.067
PTP_WM721	1.180	1.083	0.052	0.056	0.070
PTP_WM722	1.184	1.083	0.051	0.057	0.100
PTP_WM721	1.197	1.084	0.052	0.059	0.109
PTP_WM724	1.188	1.083	0.050	0.057	0.123
PTP_WM723	1.202	1.087	0.057	0.060	0.061
PTP_WM728	1.209	1.091	0.058	0.063	0.073
PTP_WM728	1.188	1.083	0.053	0.057	0.078
PTP_WM722	1.203	1.089	0.057	0.061	0.070
PTP_WM728	1.192	1.086	0.054	0.059	0.084
PTP_WM724	1.179	1.083	0.049	0.056	0.126
PTP_WM721	1.177	1.082	0.048	0.056	0.136
PTP_WM723	1.189	1.085	0.052	0.058	0.111
PTP_WM732	1.207	1.088	0.059	0.061	0.027
PTP_WM724	1.186	1.079	0.050	0.055	0.077
PTP_WM723	1.180	1.080	0.048	0.056	0.137
PTP_WM721	1.198	1.083	0.054	0.057	0.061
PTP_WM728	1.189	1.082	0.055	0.056	0.021
PTP_WM721	1.181	1.082	0.050	0.055	0.093
PTP_WM721	1.182	1.082	0.049	0.056	0.133
PTP_WM722	1.185	1.084	0.052	0.057	0.091
PTP_WM724	1.197	1.085	0.056	0.059	0.047
PTP_WM722	1.190	1.083	0.054	0.056	0.047
PTP_WM724	1.203	1.086	0.055	0.060	0.078
PTP_WM722	1.181	1.084	0.050	0.057	0.118
PTP_WM722	1.175	1.077	0.046	0.054	0.143
PTP_WM721	1.180	1.079	0.051	0.054	0.068
PTP_WM728	1.199	1.088	0.055	0.060	0.076
PTP_WM723	1.156	1.076	0.040	0.052	0.243
PTP_WM725	1.182	1.080	0.050	0.055	0.093
PTP_WM721	1.207	1.088	0.056	0.062	0.091
PTP_WM726	1.193	1.083	0.053	0.057	0.080
PTP_WM722	1.185	1.082	0.052	0.056	0.083
PTP_WM728	1.191	1.086	0.052	0.059	0.112
PTP_WM721	1.178	1.079	0.050	0.054	0.084
PTP_WM724	1.191	1.084	0.053	0.058	0.084
PTP_WM722	1.169	1.075	0.047	0.051	0.084
PTP_WM723	1.178	1.081	0.050	0.055	0.102
PTP_WM721	1.188	1.084	0.051	0.057	0.112
PTP_WM721	1.168	1.076	0.043	0.053	0.190
PTP_WM731	1.220	1.093	0.060	0.064	0.054
PTP_WM722	1.174	1.079	0.047	0.055	0.145
PTP_WM730	1.219	1.090	0.060	0.063	0.052
PTP_WM722	1.176	1.082	0.049	0.056	0.132
PTP_WM721	1.203	1.087	0.055	0.060	0.088
PTP_WM726	1.192	1.081	0.052	0.056	0.081
PTP_WM721	1.175	1.080	0.046	0.055	0.160
PTP_WM724	1.203	1.085	0.055	0.059	0.064
PTP_WM725	1.200	1.085	0.055	0.059	0.062
PTP_WM722	1.186	1.082	0.054	0.056	0.048
PTP_WM722	1.158	1.073	0.043	0.051	0.152
PTP_WM721	1.165	1.076	0.045	0.052	0.125
PTP_WM722	1.172	1.078	0.047	0.054	0.130
PTP_WM725	1.178	1.077	0.047	0.054	0.123
PTP_WM727	1.190	1.083	0.053	0.057	0.057
PTP_WM722	1.204	1.087	0.056	0.060	0.076
PTP_WM725	1.196	1.087	0.054	0.060	0.094
PTP_WM724	1.195	1.084	0.054	0.058	0.069
PTP_WM721	1.180	1.082	0.048	0.056	0.145
PTP_WM725	1.177	1.079	0.050	0.054	0.069
PTP_WM722	1.181	1.083	0.050	0.057	0.119
PTP_WM724	1.170	1.079	0.047	0.054	0.120
PTP_WM722	1.177	1.080	0.050	0.055	0.091
PTP_WM722	1.151	1.072	0.041	0.050	0.185
PTP_WM722	1.162	1.077	0.044	0.053	0.161
PTP_WM725	1.169	1.074	0.048	0.051	0.070
PTP_WM722	1.168	1.080	0.045	0.055	0.172
PTP_WM724	1.183	1.082	0.050	0.056	0.114
PTP_WM721	1.180	1.081	0.049	0.056	0.111
PTP_WM721	1.191	1.084	0.053	0.058	0.085
PTP_WM722	1.193	1.087	0.056	0.060	0.058
PTP_WM722	1.176	1.081	0.048	0.056	0.142
PTP_WM721	1.170	1.079	0.047	0.054	0.115
PTP_WM723	1.187	1.084	0.053	0.058	0.083
PTP_WM721	1.196	1.087	0.054	0.060	0.103
PTP_WM722	1.209	1.089	0.056	0.062	0.097
PTP_WM721	1.166	1.075	0.044	0.052	0.161
PTP_WM723	1.217	1.092	0.060	0.063	0.048
PTP_WM723	1.171	1.079	0.044	0.055	0.190
PTP_WM729	1.197	1.087	0.053	0.060	0.112
PTP_WM723	1.185	1.082	0.051	0.056	0.089
PTP_WM723	1.194	1.086	0.052	0.059	0.118
PTP_WM721	1.185	1.083	0.048	0.057	0.160
PTP_WM721	1.168	1.077	0.047	0.052	0.097
PTP_WM722	1.211	1.088	0.057	0.061	0.074
PTP_WM723	1.181	1.082	0.048	0.057	0.146
PTP_WM721	1.169	1.077	0.045	0.053	0.145
PTP_WM722	1.203	1.087	0.056	0.060	0.074
PTP_WM721	1.170	1.079	0.047	0.054	0.135
PTP_WM721	1.167	1.081	0.045	0.055	0.178
PTP_WM721	1.194	1.083	0.052	0.058	0.097
