Population	Num	Eff_num	Ho	Hs	Gis
STT_WM184	1.467	1.175	0.112	0.122	0.085
STT_WM183	1.505	1.191	0.125	0.133	0.056
STT_WM184	1.434	1.169	0.104	0.118	0.114
STT_WM183	1.480	1.186	0.121	0.129	0.060
STT_WM183	1.455	1.176	0.111	0.122	0.088
STT_WM185	1.468	1.178	0.117	0.124	0.059
STT_WM183	1.470	1.179	0.115	0.125	0.080
STT_WM185	1.429	1.166	0.103	0.116	0.110
STT_WM186	1.442	1.173	0.109	0.120	0.095
STT_WM183	1.460	1.175	0.112	0.122	0.082
STT_WM184	1.453	1.175	0.112	0.122	0.083
STT_WM183	1.437	1.170	0.102	0.118	0.139
STT_WM185	1.484	1.183	0.118	0.128	0.077
STT_WM185	1.473	1.184	0.118	0.127	0.067
STT_WM183	1.491	1.183	0.122	0.127	0.044
STT_WM183	1.505	1.188	0.123	0.131	0.068
STT_WM187	1.474	1.179	0.115	0.124	0.072
STT_WM184	1.487	1.182	0.120	0.128	0.061
STT_WM183	1.454	1.174	0.108	0.121	0.107
STT_WM184	1.448	1.172	0.108	0.120	0.099
STT_WM188	1.500	1.189	0.125	0.132	0.051
STT_WM186	1.470	1.178	0.114	0.124	0.080
STT_WM184	1.486	1.184	0.120	0.128	0.062
STT_WM185	1.459	1.176	0.109	0.123	0.108
STT_WM185	1.459	1.178	0.111	0.124	0.105
STT_WM184	1.468	1.177	0.114	0.124	0.074
STT_WM183	1.495	1.188	0.121	0.131	0.076
STT_WM185	1.457	1.179	0.110	0.124	0.110
STT_WM183	1.483	1.180	0.116	0.126	0.078
STT_WM185	1.487	1.183	0.116	0.128	0.094
STT_WM183	1.490	1.189	0.122	0.131	0.064
STT_WM184	1.497	1.188	0.121	0.131	0.074
STT_WM183	1.473	1.183	0.117	0.126	0.071
STT_WM188	1.468	1.180	0.116	0.125	0.070
STT_WM185	1.464	1.178	0.114	0.124	0.075
STT_WM183	1.477	1.180	0.114	0.126	0.093
STT_WM183	1.479	1.180	0.112	0.126	0.112
STT_WM190	1.483	1.183	0.117	0.127	0.079
STT_WM187	1.489	1.184	0.121	0.128	0.056
STT_WM183	1.442	1.173	0.107	0.120	0.108
STT_WM183	1.461	1.175	0.109	0.123	0.106
STT_WM183	1.509	1.189	0.125	0.132	0.049
STT_WM187	1.481	1.184	0.116	0.128	0.095
STT_WM183	1.491	1.182	0.120	0.127	0.059
STT_WM185	1.491	1.184	0.121	0.128	0.057
STT_WM183	1.462	1.179	0.112	0.124	0.103
STT_WM184	1.468	1.180	0.113	0.125	0.092
STT_WM184	1.462	1.179	0.112	0.125	0.102
STT_WM184	1.465	1.176	0.111	0.123	0.094
STT_WM183	1.445	1.171	0.102	0.119	0.142
STT_WM186	1.480	1.179	0.114	0.125	0.088
STT_WM184	1.432	1.172	0.106	0.118	0.104
STT_WM183	1.461	1.176	0.111	0.123	0.099
STT_WM183	1.503	1.190	0.126	0.132	0.048
STT_WM183	1.462	1.178	0.112	0.124	0.099
STT_WM184	1.491	1.187	0.122	0.130	0.062
STT_WM185	1.471	1.179	0.112	0.125	0.106
STT_WM183	1.459	1.174	0.108	0.122	0.109
STT_WM186	1.504	1.189	0.123	0.132	0.063
STT_WM183	1.506	1.190	0.124	0.132	0.059
STT_WM183	1.453	1.179	0.114	0.123	0.076
STT_WM186	1.448	1.171	0.110	0.119	0.077
STT_WM184	1.485	1.183	0.119	0.127	0.070
STT_WM183	1.498	1.189	0.128	0.131	0.021
STT_WM185	1.490	1.187	0.120	0.130	0.072
STT_WM183	1.448	1.174	0.109	0.121	0.099
STT_WM183	1.506	1.189	0.124	0.132	0.058
STT_WM188	1.460	1.177	0.116	0.123	0.054
STT_WM183	1.431	1.170	0.104	0.117	0.113
STT_WM183	1.471	1.183	0.118	0.126	0.069
STT_WM183	1.508	1.194	0.127	0.135	0.055
STT_WM183	1.461	1.172	0.108	0.121	0.108
STT_WM183	1.504	1.189	0.124	0.132	0.064
STT_WM185	1.444	1.175	0.109	0.121	0.102
STT_WM184	1.453	1.173	0.108	0.121	0.106
STT_WM185	1.440	1.173	0.106	0.120	0.115
STT_WM183	1.465	1.177	0.112	0.123	0.088
STT_WM186	1.466	1.176	0.110	0.123	0.107
STT_WM184	1.435	1.170	0.104	0.118	0.117
STT_WM183	1.457	1.178	0.110	0.124	0.115
STT_WM185	1.500	1.189	0.123	0.132	0.066
STT_WM185	1.468	1.177	0.114	0.124	0.080
STT_WM190	1.474	1.179	0.113	0.125	0.097
STT_WM183	1.507	1.193	0.127	0.134	0.050
STT_WM183	1.478	1.185	0.119	0.128	0.067
STT_WM185	1.478	1.180	0.114	0.126	0.094
STT_WM184	1.427	1.167	0.103	0.116	0.111
STT_WM184	1.431	1.168	0.101	0.117	0.136
STT_WM183	1.490	1.188	0.122	0.130	0.061
STT_WM185	1.477	1.181	0.117	0.126	0.073
STT_WM184	1.461	1.176	0.109	0.123	0.113
STT_WM187	1.474	1.179	0.118	0.124	0.053
STT_WM183	1.459	1.177	0.111	0.123	0.092
STT_WM183	1.443	1.172	0.106	0.119	0.115
STT_WM184	1.470	1.181	0.116	0.125	0.070
STT_WM183	1.486	1.183	0.117	0.128	0.085
STT_WM183	1.520	1.196	0.132	0.136	0.027
STT_WM184	1.468	1.178	0.115	0.124	0.073
STT_WM185	1.495	1.185	0.121	0.129	0.062
STT_WM185	1.503	1.191	0.125	0.133	0.056
