Population	Num	Eff_num	Ho	Hs	Gis
MPO_WM491	1.374	1.169	0.109	0.120	0.096
MPO_WM482	1.376	1.168	0.108	0.120	0.095
MPO_WM484	1.343	1.154	0.096	0.111	0.130
MPO_WM485	1.386	1.173	0.113	0.123	0.079
MPO_WM484	1.367	1.161	0.099	0.116	0.147
MPO_WM485	1.386	1.169	0.107	0.123	0.133
MPO_WM484	1.368	1.164	0.105	0.118	0.109
MPO_WM492	1.405	1.177	0.118	0.126	0.064
MPO_WM483	1.363	1.160	0.098	0.116	0.148
MPO_WM482	1.395	1.170	0.113	0.122	0.072
MPO_WM486	1.365	1.164	0.106	0.118	0.101
MPO_WM485	1.385	1.173	0.109	0.124	0.123
MPO_WM482	1.398	1.174	0.111	0.125	0.108
MPO_WM485	1.381	1.168	0.108	0.121	0.109
MPO_WM482	1.384	1.168	0.108	0.122	0.118
MPO_WM484	1.367	1.163	0.105	0.117	0.107
MPO_WM485	1.387	1.174	0.112	0.125	0.106
MPO_WM487	1.336	1.154	0.092	0.111	0.175
MPO_WM483	1.387	1.168	0.108	0.121	0.110
MPO_WM483	1.363	1.163	0.099	0.117	0.153
MPO_WM483	1.394	1.172	0.114	0.123	0.072
MPO_WM488	1.394	1.172	0.113	0.123	0.080
MPO_WM489	1.355	1.159	0.098	0.114	0.140
MPO_WM483	1.350	1.159	0.097	0.114	0.148
MPO_WM482	1.425	1.183	0.120	0.132	0.092
MPO_WM484	1.396	1.175	0.115	0.126	0.084
MPO_WM484	1.351	1.155	0.095	0.113	0.162
MPO_WM485	1.374	1.164	0.104	0.119	0.126
MPO_WM487	1.361	1.162	0.103	0.117	0.116
MPO_WM485	1.408	1.177	0.115	0.129	0.106
MPO_WM483	1.393	1.171	0.112	0.123	0.092
MPO_WM485	1.412	1.181	0.116	0.130	0.106
MPO_WM482	1.383	1.172	0.110	0.124	0.109
MPO_WM487	1.418	1.181	0.116	0.131	0.112
MPO_WM493	1.391	1.170	0.113	0.123	0.075
MPO_WM490	1.396	1.173	0.114	0.124	0.085
MPO_WM489	1.356	1.159	0.097	0.115	0.157
MPO_WM483	1.409	1.180	0.116	0.129	0.104
MPO_WM482	1.358	1.160	0.100	0.114	0.127
MPO_WM482	1.327	1.152	0.091	0.110	0.173
MPO_WM482	1.370	1.162	0.100	0.117	0.146
MPO_WM486	1.367	1.163	0.102	0.118	0.135
MPO_WM483	1.359	1.162	0.097	0.116	0.167
MPO_WM484	1.353	1.161	0.098	0.115	0.143
MPO_WM482	1.371	1.166	0.106	0.118	0.107
MPO_WM486	1.375	1.169	0.103	0.123	0.162
MPO_WM483	1.367	1.163	0.097	0.117	0.167
MPO_WM486	1.365	1.164	0.105	0.118	0.106
MPO_WM487	1.407	1.178	0.114	0.128	0.104
MPO_WM482	1.364	1.167	0.108	0.118	0.087
MPO_WM485	1.415	1.181	0.121	0.129	0.065
MPO_WM484	1.390	1.171	0.109	0.123	0.119
MPO_WM483	1.392	1.172	0.113	0.123	0.081
MPO_WM490	1.410	1.178	0.115	0.128	0.106
MPO_WM483	1.403	1.172	0.115	0.123	0.071
MPO_WM482	1.363	1.162	0.099	0.117	0.155
MPO_WM488	1.352	1.156	0.094	0.115	0.183
MPO_WM488	1.390	1.170	0.112	0.123	0.086
MPO_WM483	1.360	1.162	0.099	0.117	0.152
MPO_WM482	1.369	1.165	0.101	0.118	0.151
MPO_WM483	1.415	1.178	0.117	0.128	0.087
MPO_WM483	1.356	1.163	0.102	0.117	0.125
MPO_WM482	1.414	1.179	0.116	0.129	0.101
MPO_WM486	1.387	1.170	0.109	0.122	0.102
MPO_WM482	1.354	1.161	0.096	0.117	0.180
MPO_WM488	1.373	1.164	0.102	0.118	0.139
MPO_WM487	1.344	1.155	0.095	0.112	0.151
MPO_WM484	1.397	1.175	0.112	0.125	0.109
MPO_WM484	1.387	1.176	0.114	0.125	0.093
MPO_WM482	1.356	1.158	0.093	0.115	0.197
MPO_WM483	1.375	1.166	0.102	0.120	0.147
MPO_WM485	1.404	1.177	0.118	0.127	0.069
MPO_WM484	1.367	1.166	0.101	0.119	0.153
MPO_WM491	1.368	1.165	0.106	0.118	0.101
MPO_WM490	1.390	1.169	0.109	0.123	0.108
MPO_WM482	1.398	1.174	0.108	0.125	0.129
MPO_WM487	1.397	1.178	0.113	0.127	0.108
MPO_WM483	1.387	1.175	0.112	0.124	0.095
MPO_WM482	1.386	1.171	0.110	0.123	0.101
MPO_WM482	1.370	1.170	0.109	0.121	0.097
MPO_WM482	1.388	1.171	0.110	0.122	0.098
MPO_WM486	1.338	1.157	0.091	0.114	0.207
MPO_WM484	1.372	1.164	0.099	0.119	0.164
MPO_WM482	1.411	1.180	0.117	0.128	0.086
MPO_WM482	1.371	1.166	0.106	0.119	0.112
MPO_WM483	1.319	1.146	0.084	0.107	0.208
MPO_WM486	1.336	1.155	0.092	0.113	0.182
MPO_WM483	1.365	1.162	0.102	0.117	0.129
MPO_WM483	1.379	1.169	0.108	0.122	0.112
MPO_WM493	1.407	1.179	0.123	0.127	0.032
MPO_WM491	1.387	1.170	0.109	0.122	0.106
MPO_WM482	1.366	1.164	0.104	0.118	0.119
MPO_WM484	1.384	1.171	0.111	0.122	0.085
MPO_WM485	1.389	1.172	0.111	0.123	0.101
MPO_WM483	1.387	1.173	0.114	0.123	0.072
MPO_WM483	1.423	1.181	0.121	0.130	0.070
MPO_WM485	1.366	1.162	0.101	0.118	0.142
MPO_WM485	1.421	1.183	0.124	0.130	0.040
MPO_WM483	1.351	1.160	0.097	0.116	0.164
MPO_WM483	1.360	1.161	0.096	0.116	0.178
