Population	Num	Eff_num	Ho	Hs	Gis
TGCP_WM15	1.442	1.220	0.151	0.150	-0.008
TGCP_WM11	1.457	1.223	0.154	0.153	-0.005
TGCP_WM11	1.454	1.214	0.145	0.149	0.027
TGCP_WM15	1.485	1.234	0.161	0.160	-0.004
TGCP_WM11	1.453	1.221	0.152	0.151	-0.007
TGCP_WM1	1.483	1.230	0.159	0.158	-0.006
TGCP_WM17	1.441	1.217	0.150	0.148	-0.009
TGCP_WM1	1.468	1.224	0.152	0.154	0.018
TGCP_WM13	1.480	1.229	0.152	0.158	0.038
TGCP_WM15	1.497	1.235	0.160	0.163	0.017
TGCP_WM11	1.462	1.228	0.155	0.155	-0.000
TGCP_WM11	1.455	1.218	0.148	0.150	0.016
TGCP_WM14	1.503	1.234	0.164	0.161	-0.014
TGCP_WM10	1.471	1.222	0.151	0.153	0.017
TGCP_WM11	1.458	1.216	0.148	0.149	0.003
TGCP_WM1	1.466	1.226	0.160	0.155	-0.035
TGCP_WM20	1.472	1.228	0.155	0.157	0.014
TGCP_WM10	1.460	1.227	0.154	0.154	-0.002
TGCP_WM16	1.483	1.230	0.157	0.158	0.007
TGCP_WM12	1.486	1.225	0.156	0.156	-0.005
TGCP_WM1	1.471	1.220	0.148	0.153	0.032
TGCP_WM10	1.496	1.236	0.162	0.162	-0.004
TGCP_WM1	1.458	1.227	0.152	0.155	0.021
TGCP_WM14	1.507	1.236	0.162	0.163	0.006
TGCP_WM12	1.457	1.218	0.150	0.150	-0.001
TGCP_WM13	1.469	1.224	0.150	0.154	0.023
TGCP_WM12	1.435	1.216	0.152	0.148	-0.030
TGCP_WM12	1.474	1.238	0.163	0.161	-0.009
TGCP_WM13	1.492	1.232	0.161	0.160	-0.008
TGCP_WM10	1.462	1.221	0.147	0.153	0.036
TGCP_WM1	1.462	1.220	0.147	0.152	0.032
TGCP_WM10	1.475	1.227	0.155	0.157	0.007
TGCP_WM1	1.454	1.228	0.154	0.155	0.004
TGCP_WM1	1.466	1.223	0.150	0.154	0.024
TGCP_WM14	1.478	1.229	0.156	0.157	0.007
TGCP_WM12	1.483	1.235	0.165	0.160	-0.028
TGCP_WM12	1.457	1.222	0.154	0.152	-0.010
TGCP_WM13	1.470	1.221	0.155	0.153	-0.013
TGCP_WM16	1.485	1.227	0.153	0.158	0.033
TGCP_WM1	1.471	1.226	0.159	0.155	-0.023
TGCP_WM1	1.457	1.220	0.153	0.151	-0.016
TGCP_WM1	1.477	1.228	0.154	0.157	0.019
TGCP_WM10	1.479	1.227	0.156	0.157	0.004
TGCP_WM1	1.477	1.229	0.158	0.158	0.000
TGCP_WM10	1.488	1.230	0.155	0.160	0.032
TGCP_WM10	1.499	1.233	0.156	0.162	0.040
TGCP_WM16	1.479	1.229	0.159	0.157	-0.011
TGCP_WM12	1.486	1.237	0.167	0.162	-0.029
TGCP_WM11	1.477	1.227	0.157	0.156	-0.006
TGCP_WM10	1.459	1.225	0.149	0.154	0.038
TGCP_WM17	1.486	1.231	0.159	0.159	0.002
TGCP_WM10	1.460	1.218	0.144	0.151	0.046
TGCP_WM14	1.496	1.233	0.155	0.162	0.043
TGCP_WM14	1.471	1.228	0.151	0.157	0.041
TGCP_WM1	1.474	1.227	0.162	0.155	-0.044
TGCP_WM1	1.526	1.239	0.161	0.167	0.040
TGCP_WM19	1.471	1.229	0.156	0.157	0.004
TGCP_WM13	1.483	1.224	0.150	0.156	0.038
TGCP_WM1	1.481	1.225	0.154	0.156	0.012
TGCP_WM10	1.481	1.227	0.149	0.158	0.054
TGCP_WM1	1.485	1.228	0.158	0.158	-0.002
TGCP_WM14	1.501	1.228	0.158	0.159	0.007
TGCP_WM1	1.438	1.218	0.147	0.148	0.008
TGCP_WM10	1.456	1.222	0.147	0.152	0.036
TGCP_WM11	1.450	1.216	0.150	0.148	-0.013
TGCP_WM10	1.464	1.222	0.153	0.153	-0.006
TGCP_WM1	1.456	1.220	0.156	0.150	-0.035
TGCP_WM10	1.444	1.218	0.147	0.149	0.011
TGCP_WM10	1.459	1.225	0.152	0.154	0.014
TGCP_WM1	1.461	1.221	0.148	0.152	0.026
TGCP_WM11	1.451	1.219	0.149	0.150	0.009
TGCP_WM11	1.476	1.229	0.157	0.158	0.004
TGCP_WM12	1.483	1.224	0.152	0.156	0.026
TGCP_WM15	1.474	1.232	0.157	0.159	0.009
TGCP_WM12	1.453	1.222	0.155	0.151	-0.026
TGCP_WM1	1.457	1.214	0.143	0.149	0.038
TGCP_WM13	1.479	1.222	0.149	0.154	0.035
TGCP_WM18	1.473	1.226	0.152	0.156	0.027
TGCP_WM12	1.477	1.227	0.157	0.157	0.001
TGCP_WM12	1.460	1.225	0.157	0.154	-0.023
TGCP_WM10	1.473	1.228	0.156	0.157	0.003
TGCP_WM11	1.459	1.229	0.155	0.155	0.005
TGCP_WM10	1.457	1.226	0.148	0.154	0.042
TGCP_WM10	1.473	1.230	0.154	0.158	0.021
TGCP_WM14	1.518	1.241	0.165	0.167	0.012
TGCP_WM14	1.486	1.230	0.154	0.160	0.040
TGCP_WM1	1.457	1.222	0.150	0.152	0.014
TGCP_WM1	1.484	1.232	0.157	0.160	0.017
TGCP_WM10	1.443	1.218	0.146	0.149	0.021
TGCP_WM1	1.498	1.236	0.159	0.163	0.021
TGCP_WM12	1.482	1.234	0.159	0.161	0.010
TGCP_WM13	1.481	1.225	0.154	0.156	0.013
TGCP_WM1	1.463	1.225	0.153	0.154	0.005
TGCP_WM11	1.461	1.223	0.150	0.153	0.024
TGCP_WM11	1.454	1.217	0.146	0.150	0.026
TGCP_WM10	1.466	1.223	0.152	0.154	0.017
TGCP_WM15	1.455	1.222	0.145	0.152	0.047
TGCP_WM12	1.462	1.221	0.150	0.152	0.016
TGCP_WM1	1.476	1.232	0.160	0.158	-0.007
TGCP_WM11	1.488	1.235	0.165	0.161	-0.020
