Population	Num	Eff_num	Ho	Hs	Gis
STT_WM185	1.539	1.191	0.124	0.133	0.064
STT_WM184	1.500	1.180	0.116	0.125	0.070
STT_WM183	1.495	1.181	0.115	0.125	0.080
STT_WM183	1.524	1.185	0.122	0.129	0.054
STT_WM185	1.478	1.172	0.108	0.119	0.094
STT_WM183	1.508	1.183	0.116	0.127	0.090
STT_WM185	1.498	1.181	0.115	0.125	0.077
STT_WM185	1.497	1.177	0.112	0.123	0.087
STT_WM184	1.504	1.180	0.114	0.125	0.088
STT_WM184	1.499	1.182	0.117	0.126	0.070
STT_WM184	1.508	1.184	0.118	0.128	0.075
STT_WM186	1.528	1.189	0.121	0.131	0.077
STT_WM184	1.525	1.187	0.122	0.130	0.062
STT_WM183	1.497	1.180	0.114	0.125	0.087
STT_WM189	1.529	1.189	0.124	0.131	0.049
STT_WM183	1.515	1.185	0.118	0.128	0.082
STT_WM188	1.517	1.186	0.120	0.129	0.069
STT_WM184	1.495	1.179	0.112	0.125	0.102
STT_WM183	1.503	1.180	0.111	0.126	0.114
STT_WM183	1.512	1.184	0.118	0.127	0.074
STT_WM184	1.509	1.184	0.118	0.128	0.078
STT_WM183	1.493	1.179	0.112	0.124	0.097
STT_WM184	1.504	1.182	0.119	0.126	0.062
STT_WM185	1.477	1.176	0.111	0.121	0.086
STT_WM183	1.534	1.192	0.126	0.133	0.049
STT_WM185	1.513	1.183	0.116	0.127	0.087
STT_WM185	1.534	1.190	0.125	0.132	0.052
STT_WM186	1.503	1.182	0.115	0.126	0.089
STT_WM184	1.463	1.169	0.102	0.117	0.128
STT_WM183	1.537	1.189	0.124	0.131	0.058
STT_WM184	1.509	1.186	0.120	0.129	0.066
STT_WM183	1.502	1.183	0.115	0.127	0.089
STT_WM183	1.474	1.173	0.107	0.120	0.106
STT_WM186	1.519	1.186	0.122	0.129	0.054
STT_WM185	1.526	1.189	0.123	0.131	0.062
STT_WM183	1.506	1.186	0.119	0.128	0.075
STT_WM184	1.495	1.181	0.113	0.125	0.100
STT_WM184	1.496	1.182	0.114	0.126	0.090
STT_WM184	1.495	1.180	0.113	0.125	0.094
STT_WM186	1.482	1.177	0.112	0.122	0.086
STT_WM184	1.492	1.178	0.114	0.124	0.077
STT_WM183	1.504	1.179	0.112	0.125	0.103
STT_WM184	1.511	1.182	0.118	0.127	0.071
STT_WM183	1.500	1.181	0.114	0.126	0.094
STT_WM183	1.500	1.182	0.117	0.126	0.071
STT_WM186	1.502	1.180	0.115	0.125	0.080
STT_WM183	1.509	1.184	0.114	0.128	0.110
STT_WM185	1.506	1.182	0.116	0.127	0.087
STT_WM183	1.504	1.181	0.116	0.126	0.076
STT_WM183	1.475	1.174	0.107	0.121	0.115
STT_WM184	1.497	1.178	0.113	0.124	0.087
STT_WM183	1.496	1.183	0.118	0.126	0.065
STT_WM183	1.495	1.179	0.115	0.124	0.073
STT_WM183	1.504	1.183	0.117	0.127	0.076
STT_WM183	1.494	1.183	0.118	0.126	0.063
STT_WM183	1.524	1.190	0.124	0.132	0.057
STT_WM183	1.530	1.188	0.125	0.131	0.049
STT_WM184	1.495	1.181	0.113	0.125	0.093
STT_WM184	1.480	1.176	0.112	0.122	0.076
STT_WM185	1.507	1.186	0.116	0.128	0.096
STT_WM185	1.509	1.184	0.116	0.127	0.089
STT_WM185	1.481	1.175	0.108	0.121	0.111
STT_WM183	1.512	1.185	0.121	0.128	0.053
STT_WM183	1.513	1.182	0.115	0.127	0.091
STT_WM183	1.496	1.179	0.112	0.124	0.096
STT_WM186	1.493	1.180	0.114	0.124	0.080
STT_WM184	1.473	1.176	0.109	0.121	0.095
STT_WM183	1.470	1.173	0.105	0.120	0.120
STT_WM183	1.513	1.183	0.117	0.127	0.082
STT_WM183	1.513	1.187	0.120	0.129	0.072
STT_WM183	1.503	1.179	0.114	0.125	0.090
STT_WM184	1.486	1.178	0.114	0.123	0.068
STT_WM183	1.513	1.185	0.116	0.128	0.091
STT_WM183	1.488	1.176	0.111	0.122	0.090
STT_WM184	1.501	1.183	0.116	0.127	0.087
STT_WM183	1.508	1.184	0.120	0.127	0.056
STT_WM183	1.501	1.179	0.114	0.124	0.080
STT_WM184	1.516	1.187	0.121	0.129	0.064
STT_WM184	1.466	1.172	0.104	0.119	0.128
STT_WM184	1.518	1.183	0.119	0.128	0.068
STT_WM183	1.484	1.179	0.109	0.124	0.118
STT_WM184	1.512	1.184	0.117	0.128	0.082
STT_WM183	1.506	1.183	0.118	0.127	0.063
STT_WM184	1.507	1.184	0.117	0.128	0.081
STT_WM184	1.488	1.181	0.114	0.125	0.088
STT_WM184	1.513	1.181	0.118	0.126	0.062
STT_WM185	1.501	1.182	0.117	0.126	0.073
STT_WM183	1.488	1.177	0.109	0.123	0.113
STT_WM183	1.490	1.179	0.113	0.123	0.082
STT_WM186	1.508	1.184	0.118	0.127	0.072
STT_WM184	1.504	1.185	0.117	0.128	0.083
STT_WM183	1.477	1.176	0.109	0.121	0.100
STT_WM183	1.508	1.182	0.119	0.126	0.054
STT_WM184	1.487	1.178	0.112	0.123	0.088
STT_WM184	1.528	1.190	0.123	0.132	0.062
STT_WM183	1.484	1.173	0.108	0.121	0.111
STT_WM183	1.494	1.178	0.113	0.123	0.083
STT_WM183	1.520	1.183	0.119	0.127	0.064
STT_WM185	1.517	1.188	0.121	0.129	0.066
STT_WM184	1.481	1.174	0.108	0.121	0.103
