Population	Num	Eff_num	Ho	Hs	Gis
MPO_WM483	1.470	1.164	0.097	0.116	0.163
MPO_WM482	1.499	1.170	0.108	0.120	0.106
MPO_WM483	1.489	1.169	0.103	0.120	0.142
MPO_WM484	1.471	1.164	0.097	0.116	0.158
MPO_WM482	1.509	1.172	0.109	0.122	0.106
MPO_WM484	1.443	1.154	0.089	0.109	0.188
MPO_WM482	1.499	1.175	0.109	0.123	0.113
MPO_WM482	1.500	1.174	0.109	0.122	0.111
MPO_WM482	1.523	1.176	0.111	0.124	0.105
MPO_WM482	1.496	1.172	0.107	0.121	0.114
MPO_WM485	1.534	1.178	0.115	0.126	0.093
MPO_WM483	1.488	1.168	0.101	0.119	0.150
MPO_WM482	1.463	1.167	0.102	0.117	0.124
MPO_WM482	1.460	1.161	0.094	0.114	0.173
MPO_WM482	1.509	1.175	0.112	0.123	0.090
MPO_WM482	1.477	1.167	0.099	0.117	0.157
MPO_WM484	1.496	1.171	0.108	0.120	0.098
MPO_WM482	1.541	1.183	0.120	0.129	0.067
MPO_WM486	1.489	1.170	0.107	0.119	0.104
MPO_WM483	1.506	1.171	0.106	0.121	0.121
MPO_WM486	1.502	1.173	0.109	0.121	0.101
MPO_WM484	1.503	1.176	0.111	0.123	0.099
MPO_WM482	1.515	1.175	0.110	0.123	0.102
MPO_WM483	1.514	1.173	0.110	0.122	0.103
MPO_WM482	1.489	1.170	0.104	0.119	0.125
MPO_WM482	1.523	1.179	0.115	0.126	0.085
MPO_WM482	1.481	1.169	0.105	0.118	0.115
MPO_WM482	1.508	1.174	0.108	0.122	0.115
MPO_WM486	1.496	1.168	0.103	0.119	0.138
MPO_WM482	1.492	1.172	0.108	0.121	0.111
MPO_WM482	1.510	1.173	0.109	0.122	0.110
MPO_WM482	1.520	1.177	0.112	0.125	0.103
MPO_WM483	1.501	1.172	0.107	0.122	0.122
MPO_WM483	1.497	1.169	0.105	0.120	0.126
MPO_WM484	1.498	1.170	0.104	0.120	0.132
MPO_WM483	1.490	1.170	0.104	0.120	0.130
MPO_WM482	1.491	1.168	0.103	0.119	0.130
MPO_WM483	1.477	1.166	0.102	0.117	0.127
MPO_WM482	1.521	1.178	0.112	0.126	0.105
MPO_WM486	1.487	1.166	0.102	0.118	0.133
MPO_WM482	1.492	1.169	0.105	0.119	0.122
MPO_WM482	1.482	1.166	0.101	0.117	0.142
MPO_WM482	1.510	1.175	0.111	0.124	0.104
MPO_WM483	1.468	1.162	0.096	0.114	0.156
MPO_WM484	1.506	1.173	0.109	0.122	0.102
MPO_WM482	1.500	1.173	0.107	0.121	0.118
MPO_WM483	1.473	1.165	0.098	0.116	0.155
MPO_WM482	1.459	1.161	0.095	0.113	0.158
MPO_WM482	1.504	1.173	0.108	0.122	0.120
MPO_WM482	1.509	1.177	0.112	0.124	0.096
MPO_WM482	1.495	1.175	0.110	0.122	0.099
MPO_WM482	1.488	1.167	0.102	0.118	0.131
MPO_WM482	1.492	1.172	0.107	0.121	0.116
MPO_WM486	1.496	1.170	0.107	0.120	0.113
MPO_WM485	1.525	1.179	0.114	0.126	0.101
MPO_WM482	1.489	1.169	0.102	0.119	0.141
MPO_WM484	1.518	1.178	0.114	0.126	0.089
MPO_WM482	1.499	1.172	0.107	0.121	0.117
MPO_WM483	1.513	1.174	0.110	0.123	0.100
MPO_WM483	1.504	1.172	0.106	0.122	0.126
MPO_WM482	1.500	1.173	0.108	0.121	0.114
MPO_WM482	1.478	1.165	0.101	0.116	0.132
MPO_WM483	1.492	1.169	0.104	0.119	0.125
MPO_WM484	1.493	1.169	0.103	0.120	0.137
MPO_WM482	1.503	1.172	0.107	0.121	0.118
MPO_WM482	1.530	1.178	0.114	0.126	0.089
MPO_WM483	1.492	1.168	0.103	0.119	0.136
MPO_WM482	1.494	1.171	0.107	0.120	0.110
MPO_WM483	1.476	1.165	0.101	0.117	0.133
MPO_WM482	1.460	1.165	0.100	0.115	0.134
MPO_WM482	1.483	1.168	0.102	0.118	0.138
MPO_WM486	1.494	1.170	0.106	0.120	0.113
MPO_WM482	1.472	1.164	0.096	0.116	0.173
MPO_WM483	1.497	1.171	0.108	0.121	0.103
MPO_WM482	1.460	1.160	0.095	0.113	0.155
MPO_WM482	1.511	1.173	0.109	0.123	0.108
MPO_WM484	1.484	1.167	0.101	0.118	0.141
MPO_WM482	1.492	1.170	0.105	0.119	0.117
MPO_WM484	1.477	1.165	0.097	0.117	0.170
MPO_WM483	1.483	1.166	0.104	0.117	0.109
MPO_WM485	1.523	1.180	0.116	0.126	0.084
MPO_WM482	1.495	1.171	0.105	0.120	0.129
MPO_WM483	1.495	1.170	0.104	0.120	0.134
MPO_WM485	1.478	1.165	0.101	0.117	0.130
MPO_WM483	1.516	1.176	0.112	0.124	0.096
MPO_WM482	1.527	1.177	0.114	0.125	0.088
MPO_WM482	1.497	1.169	0.102	0.120	0.145
MPO_WM482	1.465	1.166	0.101	0.116	0.134
MPO_WM482	1.497	1.172	0.108	0.121	0.109
MPO_WM483	1.507	1.174	0.109	0.123	0.111
MPO_WM482	1.499	1.173	0.108	0.122	0.111
MPO_WM482	1.501	1.172	0.109	0.121	0.097
MPO_WM483	1.483	1.167	0.104	0.118	0.112
MPO_WM482	1.485	1.169	0.104	0.119	0.125
MPO_WM483	1.510	1.178	0.114	0.124	0.086
MPO_WM482	1.501	1.171	0.105	0.121	0.131
MPO_WM483	1.509	1.174	0.109	0.123	0.108
MPO_WM485	1.484	1.166	0.102	0.118	0.136
MPO_WM482	1.514	1.175	0.110	0.123	0.112
MPO_WM482	1.479	1.165	0.101	0.117	0.137
