# Population STT	WM183,WM184,WM185,WM186,WM187,WM188,WM189,WM190,WM191,WM192,WM193,WM194,WM195,WM196,WM197,WM198,WM199,WM200,WM201,WM202,WM203,WM204,WM205,WM206
# Population MPO	WM482,WM483,WM484,WM485,WM486,WM487,WM488,WM489,WM490,WM491,WM492,WM493,WM494,WM495,WM496,WM497,WM498,WM499,WM500,WM501,WM502,WM503,WM504,WM505
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
22540000	176	STT	MPO	un	15752	-0.0203	0.0000	0.0000	-0.0187	0.0000	0.0000	-0.0187	0.0000	0.0000
22540000	425	STT	MPO	un	38162	-0.0186	0.0000	0.0000	-0.0059	0.0000	0.0000	-0.0059	0.0000	0.0000
22540000	466	STT	MPO	un	41852	0.0618	0.0000	0.0000	0.0057	0.0000	0.0000	0.0058	0.0000	0.0000
22540000	715	STT	MPO	un	64262	-0.0099	0.0000	0.0000	-0.0038	0.0000	0.0000	-0.0038	0.0000	0.0000
22540000	767	STT	MPO	un	68942	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000
22540000	962	STT	MPO	un	86492	0.0958	0.0000	0.0000	0.0119	0.0000	0.0000	0.0118	0.0000	0.0000
22540000	1292	STT	MPO	un	116192	-0.0204	0.0000	0.0000	-0.0121	0.0000	0.0000	-0.0120	0.0000	0.0000
22540000	1350	STT	MPO	un	121412	0.0171	0.0000	0.0000	0.0032	0.0000	0.0000	0.0030	0.0000	0.0000
22540000	1791	STT	MPO	un	161102	0.1514	0.0000	0.0000	0.1537	0.0000	0.0000	0.1537	0.0000	0.0000
22540000	1848	STT	MPO	un	166232	0.0219	0.0000	0.0000	0.0140	0.0000	0.0000	0.0140	0.0000	0.0000
22540000	1852	STT	MPO	un	166592	0.0783	0.0000	0.0000	0.0078	0.0000	0.0000	0.0076	0.0000	0.0000
22540000	2098	STT	MPO	un	188732	-0.0009	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22540000	2389	STT	MPO	un	214922	0.1212	0.0000	0.0000	0.0315	0.0000	0.0000	0.0317	0.0000	0.0000
22540000	2852	STT	MPO	un	256592	0.0783	0.0000	0.0000	0.0078	0.0000	0.0000	0.0076	0.0000	0.0000
22540000	2972	STT	MPO	un	267392	-0.0012	0.0000	0.0000	-0.0009	0.0000	0.0000	-0.0011	0.0000	0.0000
22540000	3020	STT	MPO	un	271712	-0.0160	0.0000	0.0000	-0.0012	0.0000	0.0000	-0.0012	0.0000	0.0000
22540000	3505	STT	MPO	un	315362	0.0248	0.0000	0.0000	0.0012	0.0000	0.0000	0.0011	0.0000	0.0000
22540000	3522	STT	MPO	un	316892	0.1244	0.0000	0.0000	0.0507	0.0000	0.0000	0.0505	0.0000	0.0000
22540000	4039	STT	MPO	un	363422	-0.0184	0.0000	0.0000	-0.0101	0.0000	0.0000	-0.0103	0.0000	0.0000
22540000	4271	STT	MPO	un	384302	0.1277	0.0000	0.0000	0.0213	0.0000	0.0000	0.0213	0.0000	0.0000
22540000	4320	STT	MPO	un	388712	0.0485	0.0000	0.0000	0.0035	0.0000	0.0000	0.0034	0.0000	0.0000
22540000	4675	STT	MPO	un	420662	0.2626	0.0000	0.0000	0.2532	0.0000	0.0000	0.2532	0.0000	0.0000
22540000	4801	STT	MPO	un	432002	0.1216	0.0000	0.0000	0.0947	0.0000	0.0000	0.0950	0.0000	0.0000
22540000	4811	STT	MPO	un	432902	0.0260	0.0000	0.0000	0.0013	0.0000	0.0000	0.0012	0.0000	0.0000
22540000	4986	STT	MPO	un	448652	-0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22540000	5107	STT	MPO	un	459542	0.0208	0.0000	0.0000	0.0010	0.0000	0.0000	0.0010	0.0000	0.0000
22540000	5227	STT	MPO	un	470342	0.0110	0.0000	0.0000	0.0018	0.0000	0.0000	0.0017	0.0000	0.0000
22540000	5675	STT	MPO	un	510662	-0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22540000	5691	STT	MPO	un	512102	-0.0222	0.0000	0.0000	-0.0010	0.0000	0.0000	-0.0010	0.0000	0.0000
22540000	5751	STT	MPO	un	517502	0.2285	0.0000	0.0000	0.2302	0.0000	0.0000	0.2302	0.0000	0.0000
22540000	5820	STT	MPO	un	523712	0.0193	0.0000	0.0000	0.0009	0.0000	0.0000	0.0010	0.0000	0.0000
22540000	5880	STT	MPO	un	529112	-0.0063	0.0000	0.0000	-0.0008	0.0000	0.0000	-0.0008	0.0000	0.0000
22540000	6114	STT	MPO	un	550172	0.0186	0.0000	0.0000	0.0008	0.0000	0.0000	0.0009	0.0000	0.0000
