scenario      C1            C2            C3            C4            t2           CA2            t1           CA1         HP0_1_1       HP0_1_2       HP0_1_3       HP0_1_4       HM1_1_1       HM1_1_2       HM1_1_3       HM1_1_4       HV1_1_1       HV1_1_2       HV1_1_3       HV1_1_4       HMO_1_1       HMO_1_2       HMO_1_3       HMO_1_4      FP0_1_1&2     FP0_1_1&3     FP0_1_1&4     FP0_1_2&3     FP0_1_2&4     FP0_1_3&4     FM1_1_1&2     FM1_1_1&3     FM1_1_1&4     FM1_1_2&3     FM1_1_2&4     FM1_1_3&4     FV1_1_1&2     FV1_1_1&3     FV1_1_1&4     FV1_1_2&3     FV1_1_2&4     FV1_1_3&4     FMO_1_1&2     FMO_1_1&3     FMO_1_1&4     FMO_1_2&3     FMO_1_2&4     FMO_1_3&4     NP0_1_1&2     NP0_1_1&3     NP0_1_1&4     NP0_1_2&3     NP0_1_2&4     NP0_1_3&4     NM1_1_1&2     NM1_1_1&3     NM1_1_1&4     NM1_1_2&3     NM1_1_2&4     NM1_1_3&4     NV1_1_1&2     NV1_1_1&3     NV1_1_1&4     NV1_1_2&3     NV1_1_2&4     NV1_1_3&4     NMO_1_1&2     NMO_1_1&3     NMO_1_1&4     NMO_1_2&3     NMO_1_2&4     NMO_1_3&4   
  3            6668          9776          5688          4919          1612          1944          1017          6638      0.613406      0.561594      0.752899      0.764130      0.120641      0.108525      0.191008      0.195400      0.020240      0.018701      0.025130      0.024223      0.046639      0.047578      0.047198      0.046089      0.460507      0.668116      0.665580      0.660507      0.662681      0.720652      0.029562      0.090909      0.089365      0.078213      0.080460      0.075055      0.002129      0.013151      0.011105      0.010487      0.010576      0.010932      0.016002      0.030171      0.029885      0.026553      0.027141      0.023604      0.303986      0.454348      0.458333      0.401812      0.407971      0.592391      0.005380      0.015015      0.013455      0.012379      0.012555      0.023217      0.000625      0.003091      0.002116      0.002290      0.002335      0.004564      0.003745      0.008193      0.007288      0.007405      0.007433      0.009472
  3            3709          9128          6337          5988          1373          1882           849          4759      0.686594      0.548551      0.713406      0.737319      0.142282      0.106272      0.170826      0.179354      0.023502      0.017526      0.021024      0.022268      0.044592      0.047976      0.048958      0.047113      0.472464      0.641304      0.663768      0.619565      0.643116      0.696377      0.033550      0.090642      0.091542      0.068045      0.069672      0.054459      0.002632      0.009363      0.009475      0.006657      0.006798      0.005455      0.017735      0.032513      0.030779      0.025887      0.024865      0.019179      0.351087      0.481159      0.506884      0.357246      0.380072      0.536957      0.006487      0.013567      0.014556      0.009457      0.010156      0.013647      0.000803      0.002213      0.002163      0.001682      0.001632      0.001662      0.004209      0.007039      0.007178      0.006085      0.006296      0.006329
  3            2234          7062          1768          2324           759          1371           499          3253      0.636594      0.489130      0.765217      0.731159      0.148163      0.109966      0.222384      0.210227      0.023786      0.019548      0.026001      0.026295      0.053843      0.056178      0.052212      0.056518      0.400725      0.667391      0.643116      0.665580      0.642754      0.705072      0.029560      0.112836      0.103840      0.091467      0.080816      0.094111      0.002156      0.017351      0.015392      0.011772      0.010267      0.014570      0.017747      0.037530      0.037059      0.030588      0.028871      0.030518      0.275000      0.496015      0.469203      0.360870      0.332971      0.588406      0.006207      0.022229      0.020870      0.014925      0.013476      0.032543      0.000570      0.004560      0.004328      0.002374      0.002559      0.007468      0.004500      0.011203      0.011078      0.009539      0.008989      0.013394
  3            2060          8487          5568          3114          1157          1245           654          2048      0.735145      0.541304      0.703986      0.761957      0.151228      0.094505      0.157927      0.182443      0.024063      0.015937      0.020015      0.022018      0.040053      0.043349      0.046749      0.043429      0.467029      0.624275      0.674638      0.611594      0.658696      0.687319      0.032729      0.099197      0.120001      0.074938      0.091101      0.061997      0.003248      0.012401      0.020541      0.008491      0.013887      0.009272      0.017515      0.037271      0.039044      0.029106      0.031093      0.023047      0.376087      0.503623      0.556522      0.320290      0.372826      0.539130      0.007092      0.019563      0.026249      0.009989      0.013699      0.018179      0.001091      0.004508      0.007359      0.001923      0.002972      0.004009      0.004425      0.009711      0.011641      0.006789      0.008592      0.008391
  3            2800          9058          6508          5532          1804          2121           680          6143      0.698551      0.531522      0.698188      0.725000      0.163261      0.117468      0.182557      0.189130      0.025803      0.020678      0.022422      0.023744      0.049215      0.055031      0.055098      0.052011      0.482609      0.613768      0.636232      0.585870      0.619203      0.676449      0.038903      0.106010      0.112062      0.077283      0.083978      0.064601      0.004040      0.013913      0.016637      0.008229      0.011584      0.008832      0.020157      0.040944      0.040765      0.032005      0.031979      0.024787      0.377536      0.483333      0.508333      0.325362      0.351087      0.515942      0.010604      0.021907      0.024706      0.012271      0.014535      0.020270      0.001817      0.004788      0.005437      0.002114      0.002977      0.003900      0.006605      0.011319      0.012147      0.008278      0.009432      0.009834
  3            4167          9642          6939          6602          1507          1116           878          6134      0.696739      0.583696      0.755435      0.770290      0.109376      0.084229      0.149015      0.152642      0.017675      0.012583      0.017898      0.019216      0.033169      0.035065      0.036444      0.035063      0.470652      0.659420      0.678623      0.657971      0.678261      0.738768      0.029483      0.085490      0.080478      0.066299      0.061470      0.046336      0.002249      0.010690      0.009530      0.006385      0.005532      0.005000      0.015671      0.029116      0.025864      0.022676      0.019777      0.015261      0.359058      0.497826      0.517754      0.392029      0.409783      0.576812      0.004947      0.011192      0.010993      0.006740      0.005671      0.010846      0.000569      0.002299      0.002101      0.000908      0.000628      0.001511      0.003171      0.005620      0.005301      0.004100      0.003347      0.004590
  3            2864          9094          3391          4873          1456          1966           713          6039      0.678261      0.503623      0.759058      0.717391      0.161511      0.109888      0.205701      0.186679      0.024055      0.017796      0.024678      0.023481      0.051965      0.054546      0.049562      0.052757      0.419203      0.641304      0.616304      0.627536      0.605797      0.687319      0.039373      0.115363      0.099038      0.085417      0.073560      0.077747      0.003394      0.018179      0.011481      0.012072      0.008070      0.013495      0.022939      0.041380      0.038000      0.031815      0.028998      0.028845      0.323551      0.516667      0.487319      0.352899      0.323188      0.557609      0.008713      0.026044      0.018006      0.014888      0.010205      0.028031      0.000980      0.006219      0.002809      0.003224      0.001476      0.007157      0.005897      0.012588      0.009231      0.009634      0.006911      0.012411
  3            2841          7675          4726          2872          1794           368           639          5263      0.729348      0.584058      0.763406      0.812681      0.104139      0.075541      0.129753      0.148985      0.013226      0.009274      0.014045      0.015424      0.028185      0.031421      0.030699      0.027908      0.486232      0.644928      0.684783      0.620290      0.660870      0.718116      0.029346      0.087538      0.103127      0.070275      0.082162      0.061338      0.001839      0.011055      0.015405      0.008674      0.011956      0.008845      0.015141      0.031082      0.032507      0.026684      0.027864      0.021001      0.388043      0.509783      0.556159      0.366304      0.412681      0.589855      0.003311      0.008975      0.014265      0.005940      0.008890      0.013621      0.000270      0.001528      0.003342      0.000828      0.001699      0.002525      0.002026      0.004400      0.006331      0.003764      0.005221      0.005587
  3             855          7010          2726          4028          1150          1374           662          5419      0.810145      0.476812      0.728985      0.702536      0.210987      0.104227      0.191960      0.179588      0.029126      0.017302      0.023890      0.022219      0.040057      0.054530      0.052024      0.053421      0.421014      0.660145      0.632246      0.608696      0.583333      0.662319      0.057309      0.145724      0.135706      0.080912      0.071966      0.069089      0.010953      0.026734      0.022342      0.010986      0.007344      0.009521      0.033243      0.049525      0.049906      0.031661      0.029986      0.027085      0.369565      0.601812      0.575000      0.299275      0.277174      0.517754      0.019241      0.040480      0.035365      0.011222      0.009358      0.020894      0.005749      0.011608      0.009053      0.001687      0.001186      0.003729      0.012137      0.016119      0.015030      0.007868      0.006764      0.010084
  3            2735          9307          5019          5414          2318           361           551          8074      0.728985      0.558696      0.789130      0.794928      0.108279      0.067465      0.139079      0.128465      0.013007      0.007132      0.012356      0.010847      0.029345      0.029773      0.029327      0.026345      0.489855      0.660870      0.663043      0.638768      0.640942      0.719203      0.026963      0.096343      0.087662      0.074859      0.066331      0.054660      0.001581      0.010394      0.009317      0.008345      0.006867      0.005785      0.013794      0.032673      0.029538      0.027042      0.023816      0.018695      0.385507      0.532246      0.537319      0.363043      0.367754      0.596739      0.003133      0.008809      0.008694      0.005809      0.004798      0.009379      0.000244      0.000944      0.001695      0.000794      0.000781      0.001483      0.001925      0.004120      0.004023      0.003700      0.003033      0.003785
