scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   3           1937           6884           3977           3882            555           4357            968           1717
   3           3546           5758           5366           5259            447           8836           1491           1233
   3           2759           9920           5364           4797            850           6490           1394            922
   3           2538           8698           4510           3521            663           6366           1284           1603
   3           4512           8484           4475           4655            754           4469           1310           1385
   3           2496           8399           3565           4634            635           6794           1345            276
   3           3565           9066           4484           5310            952           2355           1552           1436
   3           2134           9288           4661           3540            690           9542           1277           1735
   3           1975           6407           3396           1889            525           1727            784           1637
   3           2592           7572           3021           2498            589           2640            788            156
   3           2472           8788           4140           3626            654           7622           1259           2030
   3           3286           8897           5696           4035            751           7195           1486           1196
   3           2660           9223           4683           4746            725           4688           1430           1842
   3           2879           9423           5218           5021            684           7054           1248            744
   3           1653           8229           3788           2301            513           4354            930           1307
   3           3051           8947           4730           4187            770           8396           1489           1745
   3           2547           8915           4038           3585            625           4526           1300           1729
   3           3624           9621           5113           4993            843           6521           1637            918
   3           2832           9588           4589           3039            747           4545           1311           1637
   3           1960           7219           3724           2945            555           4358           1067            936
   3           2889           8599           4267           2877            727           4945           1161           1506
   3           2861           9380           4997           5187            893            235           1598         52.656
   3           1727           7575           2722           2703            590           2411            898           1247
   3           1581           6071           3117           2792            470           2767            876           1158
   3           2009           8913           4753           4029            690           5139           1201           1635
   3           3086           8595           5210           3978            805           3236           1285           1062
   3           2751           8180           4017           3354            672           5164           1243            165
   3           2536           9047           4786           3890            774           8766           1303            295
   3           3109           9587           4506           4282            754           2734           1457           1162
   3           2577           7504           3975           3564            549           9055           1169           2156
   3           3003           9979           5121           4843            707           9558           1562           1823
   3           2132           7244           4165           4348            562           7740           1170           2290
   3           3432           9580           4975           4891            818           5327           1525           1875
   3           1638           8188           3765           3488            511           4581           1137           1978
   3           2506           9699           4314           4231            757           3890           1254           2586
   3           2678           7913           3633           4534            604           4217           1159           2451
   3           3416           9450           4720           4860            740           5116           1494           1041
   3           4029           9309           4929           3525            858           7337           1234           2111
   3           2695           8190           4186           3938            612           1360           1080           1323
   3           1785           8761           3801           2619            751           2705            951           1342
   3           3232           9055           4520           5549            759           8414           1544           1619
   3           2476           9775           4430           3281            795           5411           1173           2123
   3           3291           9552           4919           5044            772           9573           1605           1659
   3           2861           8756           4480           3602            800           6153           1572           1271
   3           2136           9228           4683           4459            630           4923           1318           2006
   3           2158           8763           4114           3550            601           5664           1134           1717
   3           2161           8883           4148           3550            596           3896           1118            722
   3           3729           9117           5174           4649            835           5278           1724           2317
   3           2262           7325           3983           3677            558           8316            975           1385
   3           2856           9270           4601           4091            784           5993           1214            111
   3           2337           6401           3656           1924            590           1928            860            808
   3           1334           5833           2465           2287            369           3647            755           1209
   3           2035           7891           4023           2659            610           4940           1080           1525
   3           2772           9660           4508           4816            732           5549           1417           1176
   3           1177           6665           2476           1421            381           3901            561            292
   3           3210           8330           5063           3680            724           8058           1308           1575
   3           1731           6937           3344           2199            526           3503            866           1345
   3           3985           9752           5246           5656            838           7556           1385           2560
   3           1565           7509           3613           2710            607           5743           1059           1133
   3           2084           7880           3367           2630            599           3833           1139           1628
   3           3196           9055           4646           5054            824           9631           1680           1351
   3           2736           9485           5123           4867            966           5883           1379            728
   3           2112           8448           4397           3370            766           5129           1192            147
   3           1845           7670           2747           3436            556           7397            974           1319
   3           2718           8698           4184           4389            632           7833           1404           1194
   3           3530           9841           4949           4474            955           6264           1584           2161
   3           2158           7410           3826           3016            635           3011           1003           1737
   3           3503           9771           4540           4759            742           6221           1552            681
   3           2182           8135           4391           4082            647           2389           1275           1916
   3           2456           8830           4207           4343            635           5136           1121           1607
   3           3305           8773           4857           4935            722           6548           1429           1750
   3           1663           7899           3802           3112            481           5814           1153            231
   3           1505           7163           2614           2923            586           3975            913           1223
   3           2018           7577           4455           3436            561           6906           1216           1305
   3           2885           7389           4072           3990            621           4116           1204           1498
   3           1937           7044           4063           3924            596           5385           1047           2117
   3           2815           8586           4738           6495            715           8254           1475           1730
   3           2436           9222           3718           3995            565           8355           1278           1801
   3           1921           7042           3518           3001            666           3587           1023           1508
   3           2591           9273           4460           3623            691           6042           1276           2316
   3           3196           9276           4617           6374            770           8095           1675           1631
   3           3353           9010           4649           7305            811           7984           1485           1953
   3           2772           9512           4300           3967            708           4370           1357           1987
   3           2021           3207           2773           2319            305           5790            609            930
   3           2061           9287           4233           4361            647           5017           1356            471
   3           1545           6230           3760           2209            501           2635            857           1054
   3           3588           9712           5276           7978            866           5084           1696           2145
   3           2350           8498           3681           3044            574           8405           1100           1583
