# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP1	98	1.0000	0.0000	0.0000	0.9731	0.0127	0.0006	0.0538	0.0509	0.0012	0.9462	0.0509	0.0012	0.0269	0.0127	0.0006	0.9731	0.0127	0.0006	0.0538	0.0509	0.0012	0.0000	46.3635	0.0000
TGCP2	84	1.0000	0.0000	0.0000	0.9713	0.0135	0.0006	0.0574	0.0541	0.0012	0.9426	0.0541	0.0012	0.0287	0.0135	0.0006	0.9713	0.0135	0.0006	0.0574	0.0541	0.0012	0.0000	46.1880	0.0000
TGCP3	5	1.0000	0.0000	0.0000	0.9762	0.0113	0.0006	0.0476	0.0454	0.0011	0.9524	0.0454	0.0011	0.0238	0.0113	0.0006	0.9762	0.0113	0.0006	0.0476	0.0454	0.0011	0.0000	46.6678	0.0000
TGCP4	7	1.0000	0.0000	0.0000	0.9764	0.0112	0.0006	0.0471	0.0449	0.0011	0.9529	0.0449	0.0011	0.0236	0.0112	0.0006	0.9764	0.0112	0.0006	0.0471	0.0449	0.0011	0.0000	46.6923	0.0000
TGCP5	9	1.0000	0.0000	0.0000	0.9769	0.0110	0.0006	0.0462	0.0441	0.0011	0.9538	0.0441	0.0011	0.0231	0.0110	0.0006	0.9769	0.0110	0.0006	0.0462	0.0441	0.0011	0.0000	46.7351	0.0000
TGCP6	2	1.0000	0.0000	0.0000	0.9764	0.0112	0.0006	0.0472	0.0450	0.0011	0.9528	0.0450	0.0011	0.0236	0.0112	0.0006	0.9764	0.0112	0.0006	0.0472	0.0450	0.0011	0.0000	46.6879	0.0000
TGCP7	6	1.0000	0.0000	0.0000	0.9769	0.0110	0.0006	0.0463	0.0442	0.0011	0.9537	0.0442	0.0011	0.0231	0.0110	0.0006	0.9769	0.0110	0.0006	0.0463	0.0442	0.0011	0.0000	46.7328	0.0000
TGCP8	3	1.0000	0.0000	0.0000	0.9779	0.0106	0.0005	0.0443	0.0423	0.0011	0.9557	0.0423	0.0011	0.0221	0.0106	0.0005	0.9779	0.0106	0.0005	0.0443	0.0423	0.0011	0.0000	46.8308	0.0000
TGCP9	57	1.0000	0.0000	0.0000	0.9756	0.0116	0.0006	0.0487	0.0464	0.0011	0.9513	0.0464	0.0011	0.0244	0.0116	0.0006	0.9756	0.0116	0.0006	0.0487	0.0464	0.0011	0.0000	46.6132	0.0000
TGCP10	11	1.0000	0.0000	0.0000	0.9772	0.0109	0.0005	0.0456	0.0435	0.0011	0.9544	0.0435	0.0011	0.0228	0.0109	0.0005	0.9772	0.0109	0.0005	0.0456	0.0435	0.0011	0.0000	46.7654	0.0000
MRLP123	286	1.0000	0.0000	0.0000	0.9797	0.0097	0.0004	0.0405	0.0389	0.0008	0.9595	0.0389	0.0008	0.0203	0.0097	0.0004	0.9797	0.0097	0.0004	0.0405	0.0389	0.0008	0.0000	47.0144	0.0000
MRLP124	269	1.0000	0.0000	0.0000	0.9798	0.0097	0.0004	0.0405	0.0388	0.0008	0.9595	0.0388	0.0008	0.0202	0.0097	0.0004	0.9798	0.0097	0.0004	0.0405	0.0388	0.0008	0.0000	47.0176	0.0000
MRLP125	317	1.0000	0.0000	0.0000	0.9821	0.0086	0.0004	0.0358	0.0345	0.0007	0.9642	0.0345	0.0007	0.0179	0.0086	0.0004	0.9821	0.0086	0.0004	0.0358	0.0345	0.0007	0.0000	47.2452	0.0000
MRLP126	15	1.0000	0.0000	0.0000	0.9838	0.0078	0.0003	0.0323	0.0313	0.0007	0.9677	0.0313	0.0007	0.0162	0.0078	0.0003	0.9838	0.0078	0.0003	0.0323	0.0313	0.0007	0.0000	47.4169	0.0000
MRLP127	25	1.0000	0.0000	0.0000	0.9820	0.0087	0.0004	0.0360	0.0347	0.0007	0.9640	0.0347	0.0007	0.0180	0.0087	0.0004	0.9820	0.0087	0.0004	0.0360	0.0347	0.0007	0.0000	47.2382	0.0000
MRLP128	15	1.0000	0.0000	0.0000	0.9836	0.0079	0.0004	0.0329	0.0318	0.0007	0.9671	0.0318	0.0007	0.0164	0.0079	0.0004	0.9836	0.0079	0.0004	0.0329	0.0318	0.0007	0.0000	47.3909	0.0000
MRLP129	13	1.0000	0.0000	0.0000	0.9846	0.0075	0.0004	0.0308	0.0299	0.0007	0.9692	0.0299	0.0007	0.0154	0.0075	0.0004	0.9846	0.0075	0.0004	0.0308	0.0299	0.0007	0.0000	47.4895	0.0000
MRLP130	19	1.0000	0.0000	0.0000	0.9837	0.0079	0.0004	0.0325	0.0315	0.0007	0.9675	0.0315	0.0007	0.0163	0.0079	0.0004	0.9837	0.0079	0.0004	0.0325	0.0315	0.0007	0.0000	47.4076	0.0000
STT183	154	1.0000	0.0000	0.0000	0.9810	0.0092	0.0004	0.0381	0.0366	0.0007	0.9619	0.0366	0.0007	0.0190	0.0092	0.0004	0.9810	0.0092	0.0004	0.0381	0.0366	0.0007	0.0000	47.1360	0.0000
STT184	172	1.0000	0.0000	0.0000	0.9806	0.0093	0.0004	0.0388	0.0373	0.0008	0.9612	0.0373	0.0008	0.0194	0.0093	0.0004	0.9806	0.0093	0.0004	0.0388	0.0373	0.0008	0.0000	47.0979	0.0000
STT185	14	1.0000	0.0000	0.0000	0.9872	0.0062	0.0004	0.0256	0.0249	0.0007	0.9744	0.0249	0.0007	0.0128	0.0062	0.0004	0.9872	0.0062	0.0004	0.0256	0.0249	0.0007	0.0000	47.7465	0.0000
STT186	17	1.0000	0.0000	0.0000	0.9857	0.0070	0.0004	0.0287	0.0278	0.0008	0.9713	0.0278	0.0008	0.0143	0.0070	0.0004	0.9857	0.0070	0.0004	0.0287	0.0278	0.0008	0.0000	47.5963	0.0000
STT187	12	1.0000	0.0000	0.0000	0.9855	0.0070	0.0004	0.0290	0.0282	0.0007	0.9710	0.0282	0.0007	0.0145	0.0070	0.0004	0.9855	0.0070	0.0004	0.0290	0.0282	0.0007	0.0000	47.5785	0.0000
STT188	21	1.0000	0.0000	0.0000	0.9823	0.0085	0.0004	0.0354	0.0342	0.0007	0.9646	0.0342	0.0007	0.0177	0.0085	0.0004	0.9823	0.0085	0.0004	0.0354	0.0342	0.0007	0.0000	47.2652	0.0000
STT189	188	1.0000	0.0000	0.0000	0.9798	0.0097	0.0004	0.0405	0.0388	0.0008	0.9595	0.0388	0.0008	0.0202	0.0097	0.0004	0.9798	0.0097	0.0004	0.0405	0.0388	0.0008	0.0000	47.0183	0.0000
STT190	7	1.0000	0.0000	0.0000	0.9857	0.0070	0.0004	0.0287	0.0278	0.0007	0.9713	0.0278	0.0007	0.0143	0.0070	0.0004	0.9857	0.0070	0.0004	0.0287	0.0278	0.0007	0.0000	47.5962	0.0000
STT191	12	1.0000	0.0000	0.0000	0.9850	0.0073	0.0004	0.0300	0.0291	0.0007	0.9700	0.0291	0.0007	0.0150	0.0073	0.0004	0.9850	0.0073	0.0004	0.0300	0.0291	0.0007	0.0000	47.5323	0.0000
STT192	16	1.0000	0.0000	0.0000	0.9871	0.0063	0.0004	0.0258	0.0251	0.0007	0.9742	0.0251	0.0007	0.0129	0.0063	0.0004	0.9871	0.0063	0.0004	0.0258	0.0251	0.0007	0.0000	47.7390	0.0000
FSSP241	162	1.0000	0.0000	0.0000	0.9825	0.0085	0.0004	0.0351	0.0338	0.0008	0.9649	0.0338	0.0008	0.0175	0.0085	0.0004	0.9825	0.0085	0.0004	0.0351	0.0338	0.0008	0.0000	47.2825	0.0000
FSSP242	19	1.0000	0.0000	0.0000	0.9889	0.0054	0.0003	0.0222	0.0217	0.0007	0.9778	0.0217	0.0007	0.0111	0.0054	0.0003	0.9889	0.0054	0.0003	0.0222	0.0217	0.0007	0.0000	47.9138	0.0000
FSSP243	162	1.0000	0.0000	0.0000	0.9834	0.0080	0.0004	0.0332	0.0321	0.0008	0.9668	0.0321	0.0008	0.0166	0.0080	0.0004	0.9834	0.0080	0.0004	0.0332	0.0321	0.0008	0.0000	47.3754	0.0000
FSSP244	6	1.0000	0.0000	0.0000	0.9862	0.0067	0.0004	0.0277	0.0269	0.0007	0.9723	0.0269	0.0007	0.0138	0.0067	0.0004	0.9862	0.0067	0.0004	0.0277	0.0269	0.0007	0.0000	47.6440	0.0000
FSSP245	21	1.0000	0.0000	0.0000	0.9868	0.0064	0.0004	0.0264	0.0257	0.0007	0.9736	0.0257	0.0007	0.0132	0.0064	0.0004	0.9868	0.0064	0.0004	0.0264	0.0257	0.0007	0.0000	47.7062	0.0000
FSSP246	18	1.0000	0.0000	0.0000	0.9855	0.0071	0.0004	0.0291	0.0282	0.0007	0.9709	0.0282	0.0007	0.0145	0.0071	0.0004	0.9855	0.0071	0.0004	0.0291	0.0282	0.0007	0.0000	47.5758	0.0000
FSSP247	7	1.0000	0.0000	0.0000	0.9844	0.0076	0.0004	0.0312	0.0302	0.0007	0.9688	0.0302	0.0007	0.0156	0.0076	0.0004	0.9844	0.0076	0.0004	0.0312	0.0302	0.0007	0.0000	47.4729	0.0000
FSSP248	14	1.0000	0.0000	0.0000	0.9860	0.0068	0.0004	0.0280	0.0273	0.0007	0.9720	0.0273	0.0007	0.0140	0.0068	0.0004	0.9860	0.0068	0.0004	0.0280	0.0273	0.0007	0.0000	47.6268	0.0000
FSSP249	21	1.0000	0.0000	0.0000	0.9856	0.0070	0.0004	0.0287	0.0279	0.0007	0.9713	0.0279	0.0007	0.0144	0.0070	0.0004	0.9856	0.0070	0.0004	0.0287	0.0279	0.0007	0.0000	47.5925	0.0000
FSSP250	164	1.0000	0.0000	0.0000	0.9820	0.0087	0.0004	0.0361	0.0348	0.0008	0.9639	0.0348	0.0008	0.0180	0.0087	0.0004	0.9820	0.0087	0.0004	0.0361	0.0348	0.0008	0.0000	47.2342	0.0000
HNL301	34	1.0000	0.0000	0.0000	0.9793	0.0099	0.0004	0.0414	0.0397	0.0009	0.9586	0.0397	0.0009	0.0207	0.0099	0.0004	0.9793	0.0099	0.0004	0.0414	0.0397	0.0009	0.0000	46.9710	0.0000
HNL302	39	1.0000	0.0000	0.0000	0.9774	0.0108	0.0004	0.0452	0.0431	0.0009	0.9548	0.0431	0.0009	0.0226	0.0108	0.0004	0.9774	0.0108	0.0004	0.0452	0.0431	0.0009	0.0000	46.7867	0.0000
HNL303	49	1.0000	0.0000	0.0000	0.9754	0.0117	0.0004	0.0493	0.0468	0.0009	0.9507	0.0468	0.0009	0.0246	0.0117	0.0004	0.9754	0.0117	0.0004	0.0493	0.0468	0.0009	0.0000	46.5863	0.0000
HNL304	53	1.0000	0.0000	0.0000	0.9774	0.0108	0.0004	0.0452	0.0432	0.0009	0.9548	0.0432	0.0009	0.0226	0.0108	0.0004	0.9774	0.0108	0.0004	0.0452	0.0432	0.0009	0.0000	46.7840	0.0000
HNL305	338	1.0000	0.0000	0.0000	0.9726	0.0129	0.0005	0.0548	0.0518	0.0009	0.9452	0.0518	0.0009	0.0274	0.0129	0.0005	0.9726	0.0129	0.0005	0.0548	0.0518	0.0009	0.0000	46.3178	0.0000
HNL306	402	1.0000	0.0000	0.0000	0.9711	0.0136	0.0005	0.0578	0.0544	0.0009	0.9422	0.0544	0.0009	0.0289	0.0136	0.0005	0.9711	0.0136	0.0005	0.0578	0.0544	0.0009	0.0000	46.1698	0.0000
HNL307	47	1.0000	0.0000	0.0000	0.9771	0.0109	0.0004	0.0458	0.0437	0.0009	0.9542	0.0437	0.0009	0.0229	0.0109	0.0004	0.9771	0.0109	0.0004	0.0458	0.0437	0.0009	0.0000	46.7582	0.0000
HNL308	39	1.0000	0.0000	0.0000	0.9769	0.0110	0.0004	0.0462	0.0441	0.0009	0.9538	0.0441	0.0009	0.0231	0.0110	0.0004	0.9769	0.0110	0.0004	0.0462	0.0441	0.0009	0.0000	46.7376	0.0000
HNL309	304	1.0000	0.0000	0.0000	0.9730	0.0128	0.0005	0.0540	0.0511	0.0009	0.9460	0.0511	0.0009	0.0270	0.0128	0.0005	0.9730	0.0128	0.0005	0.0540	0.0511	0.0009	0.0000	46.3543	0.0000
HNL310	44	1.0000	0.0000	0.0000	0.9818	0.0088	0.0004	0.0364	0.0350	0.0009	0.9636	0.0350	0.0009	0.0182	0.0088	0.0004	0.9818	0.0088	0.0004	0.0364	0.0350	0.0009	0.0000	47.2197	0.0000
MPO482	165	1.0000	0.0000	0.0000	0.9835	0.0080	0.0004	0.0331	0.0320	0.0007	0.9669	0.0320	0.0007	0.0165	0.0080	0.0004	0.9835	0.0080	0.0004	0.0331	0.0320	0.0007	0.0000	47.3800	0.0000
MPO483	122	1.0000	0.0000	0.0000	0.9840	0.0078	0.0004	0.0321	0.0310	0.0007	0.9679	0.0310	0.0007	0.0160	0.0078	0.0004	0.9840	0.0078	0.0004	0.0321	0.0310	0.0007	0.0000	47.4300	0.0000
MPO484	15	1.0000	0.0000	0.0000	0.9846	0.0075	0.0003	0.0308	0.0298	0.0007	0.9692	0.0298	0.0007	0.0154	0.0075	0.0003	0.9846	0.0075	0.0003	0.0308	0.0298	0.0007	0.0000	47.4930	0.0000
MPO485	227	1.0000	0.0000	0.0000	0.9767	0.0111	0.0004	0.0466	0.0444	0.0008	0.9534	0.0444	0.0008	0.0233	0.0111	0.0004	0.9767	0.0111	0.0004	0.0466	0.0444	0.0008	0.0000	46.7170	0.0000
MPO486	10	1.0000	0.0000	0.0000	0.9881	0.0058	0.0004	0.0239	0.0233	0.0007	0.9761	0.0233	0.0007	0.0119	0.0058	0.0004	0.9881	0.0058	0.0004	0.0239	0.0233	0.0007	0.0000	47.8323	0.0000
