Obs_____	TGCP_____	STT_____	MPO_____	PTP_____
MPO_WM484	0.171534	0.060918	0.000000	0.193881
MPO_WM482	0.169940	0.064188	0.000000	0.190734
MPO_WM482	0.170457	0.066589	0.000000	0.187910
MPO_WM483	0.172348	0.062977	0.000000	0.191335
MPO_WM482	0.168724	0.063248	0.000000	0.186064
MPO_WM483	0.161539	0.066377	0.000000	0.187395
MPO_WM485	0.170839	0.064432	0.000000	0.188178
MPO_WM487	0.166873	0.066158	0.000000	0.189726
MPO_WM485	0.165811	0.069979	0.000000	0.186286
MPO_WM482	0.163769	0.066343	0.000000	0.191671
MPO_WM486	0.164070	0.065600	0.000000	0.186899
MPO_WM488	0.172550	0.063003	0.000000	0.192775
MPO_WM482	0.166598	0.061907	0.000000	0.188860
MPO_WM482	0.168273	0.068769	0.000000	0.189393
MPO_WM482	0.166134	0.060892	0.000000	0.196097
MPO_WM484	0.162095	0.058924	0.000000	0.194265
MPO_WM482	0.170611	0.065799	0.000000	0.199376
MPO_WM483	0.167320	0.063436	0.000000	0.192454
MPO_WM483	0.166727	0.069189	0.000000	0.187580
MPO_WM484	0.162358	0.064575	0.000000	0.192457
MPO_WM485	0.168197	0.064220	0.000000	0.187299
MPO_WM482	0.159338	0.066166	0.000000	0.194814
MPO_WM484	0.166119	0.061434	0.000000	0.194353
MPO_WM482	0.164354	0.071714	0.000000	0.187462
MPO_WM484	0.171421	0.064918	0.000000	0.184034
MPO_WM485	0.158294	0.061769	0.000000	0.189678
MPO_WM483	0.164573	0.066596	0.000000	0.190765
MPO_WM482	0.171104	0.070318	0.000000	0.184197
MPO_WM483	0.167388	0.061315	0.000000	0.192921
MPO_WM482	0.169768	0.062121	0.000000	0.190171
MPO_WM483	0.165230	0.066193	0.000000	0.192803
MPO_WM482	0.165248	0.062016	0.000000	0.191544
MPO_WM482	0.165598	0.066631	0.000000	0.196861
MPO_WM482	0.167840	0.067857	0.000000	0.191337
MPO_WM483	0.154213	0.066489	0.000000	0.186407
MPO_WM483	0.171817	0.064151	0.000000	0.196988
MPO_WM482	0.168038	0.058850	0.000000	0.192148
MPO_WM482	0.166653	0.070186	0.000000	0.194209
MPO_WM482	0.163220	0.067704	0.000000	0.187693
MPO_WM482	0.166018	0.059232	0.000000	0.181335
MPO_WM482	0.163862	0.057166	0.000000	0.184399
MPO_WM484	0.171722	0.060222	0.000000	0.187314
MPO_WM482	0.171031	0.068192	0.000000	0.188783
MPO_WM482	0.168659	0.059335	0.000000	0.181548
MPO_WM485	0.168575	0.067462	0.000000	0.191671
MPO_WM485	0.168422	0.068303	0.000000	0.188856
MPO_WM482	0.168826	0.066728	0.000000	0.189876
MPO_WM486	0.176515	0.073306	0.000000	0.194285
MPO_WM482	0.165812	0.063617	0.000000	0.186365
MPO_WM482	0.168850	0.060512	0.000000	0.190277
MPO_WM485	0.164859	0.066091	0.000000	0.187700
MPO_WM482	0.164588	0.062620	0.000000	0.187438
MPO_WM483	0.162916	0.067992	0.000000	0.187440
MPO_WM484	0.164992	0.058416	0.000000	0.185057
MPO_WM484	0.169883	0.066358	0.000000	0.198017
MPO_WM485	0.171898	0.061025	0.000000	0.194973
MPO_WM484	0.161261	0.062096	0.000000	0.195977
MPO_WM486	0.166348	0.063886	0.000000	0.190276
MPO_WM483	0.163810	0.069791	0.000000	0.195875
MPO_WM483	0.172127	0.061930	0.000000	0.183074
MPO_WM483	0.164804	0.067896	0.000000	0.191262
MPO_WM488	0.165537	0.060642	0.000000	0.181951
MPO_WM484	0.164206	0.063532	0.000000	0.183255
MPO_WM485	0.160651	0.067307	0.000000	0.194866
MPO_WM485	0.170137	0.063505	0.000000	0.188905
MPO_WM483	0.163095	0.060955	0.000000	0.183125
MPO_WM483	0.166408	0.065367	0.000000	0.187994
MPO_WM483	0.161389	0.061931	0.000000	0.191338
MPO_WM482	0.166523	0.065822	0.000000	0.190988
MPO_WM482	0.179109	0.066849	0.000000	0.192016
MPO_WM484	0.168866	0.066866	0.000000	0.195747
MPO_WM482	0.168566	0.061520	0.000000	0.188618
MPO_WM483	0.170769	0.063884	0.000000	0.196831
MPO_WM484	0.166003	0.072332	0.000000	0.188241
MPO_WM486	0.159448	0.063508	0.000000	0.187860
MPO_WM485	0.175367	0.069214	0.000000	0.194322
MPO_WM483	0.163125	0.054138	0.000000	0.183553
MPO_WM486	0.162291	0.059783	0.000000	0.185754
MPO_WM482	0.167515	0.064622	0.000000	0.192324
MPO_WM482	0.162955	0.064694	0.000000	0.194875
MPO_WM487	0.164919	0.063833	0.000000	0.182326
MPO_WM485	0.160421	0.070661	0.000000	0.189723
MPO_WM482	0.170450	0.058526	0.000000	0.188052
MPO_WM483	0.169711	0.069981	0.000000	0.196819
MPO_WM482	0.166782	0.064747	0.000000	0.192486
