Obs_____	TGCP_____	STT_____	MPO_____	PTP_____
TGCP_WM10	0.000000	0.172301	0.171534	0.183638
TGCP_WM11	0.000000	0.166858	0.169940	0.186845
TGCP_WM1	0.000000	0.169844	0.170457	0.186807
TGCP_WM10	0.000000	0.173321	0.172348	0.186391
TGCP_WM1	0.000000	0.175517	0.168724	0.190919
TGCP_WM10	0.000000	0.167615	0.161539	0.180603
TGCP_WM12	0.000000	0.166847	0.170839	0.190335
TGCP_WM13	0.000000	0.172948	0.166873	0.185022
TGCP_WM1	0.000000	0.174462	0.165811	0.184154
TGCP_WM11	0.000000	0.169570	0.163769	0.183049
TGCP_WM1	0.000000	0.169381	0.164070	0.178817
TGCP_WM10	0.000000	0.171129	0.172550	0.194611
TGCP_WM10	0.000000	0.165349	0.166598	0.188969
TGCP_WM1	0.000000	0.167338	0.168273	0.183375
TGCP_WM10	0.000000	0.165318	0.166134	0.192241
TGCP_WM1	0.000000	0.158749	0.162095	0.173481
TGCP_WM1	0.000000	0.172513	0.170611	0.191786
TGCP_WM1	0.000000	0.168139	0.167320	0.197830
TGCP_WM11	0.000000	0.167705	0.166727	0.187790
TGCP_WM13	0.000000	0.167329	0.162358	0.176509
TGCP_WM10	0.000000	0.174907	0.168197	0.180289
TGCP_WM1	0.000000	0.170508	0.159338	0.181755
TGCP_WM10	0.000000	0.167142	0.166119	0.187335
TGCP_WM10	0.000000	0.169674	0.164354	0.176313
TGCP_WM10	0.000000	0.176765	0.171421	0.190572
TGCP_WM1	0.000000	0.164094	0.158294	0.172555
TGCP_WM1	0.000000	0.165568	0.164573	0.186641
TGCP_WM1	0.000000	0.172353	0.171104	0.191499
TGCP_WM11	0.000000	0.168566	0.167388	0.179250
TGCP_WM10	0.000000	0.168499	0.169768	0.196874
TGCP_WM10	0.000000	0.164360	0.165230	0.183691
TGCP_WM1	0.000000	0.167495	0.165248	0.188337
TGCP_WM1	0.000000	0.168969	0.165598	0.183207
TGCP_WM11	0.000000	0.176003	0.167840	0.183724
TGCP_WM12	0.000000	0.161045	0.154213	0.181293
TGCP_WM1	0.000000	0.168497	0.171817	0.191806
TGCP_WM1	0.000000	0.165692	0.168038	0.191813
TGCP_WM10	0.000000	0.170775	0.166653	0.191422
TGCP_WM12	0.000000	0.164198	0.163220	0.184153
TGCP_WM13	0.000000	0.167741	0.166018	0.193893
TGCP_WM1	0.000000	0.165798	0.163862	0.183703
TGCP_WM12	0.000000	0.172680	0.171722	0.184056
TGCP_WM1	0.000000	0.173829	0.171031	0.185044
TGCP_WM1	0.000000	0.171254	0.168659	0.184865
TGCP_WM1	0.000000	0.168255	0.168575	0.178171
TGCP_WM12	0.000000	0.164641	0.168422	0.182430
TGCP_WM10	0.000000	0.174498	0.168826	0.187409
TGCP_WM1	0.000000	0.172554	0.176515	0.193750
TGCP_WM10	0.000000	0.175596	0.165812	0.190317
TGCP_WM12	0.000000	0.161887	0.168850	0.184985
TGCP_WM1	0.000000	0.166788	0.164859	0.177946
TGCP_WM10	0.000000	0.176266	0.164588	0.192972
TGCP_WM10	0.000000	0.172172	0.162916	0.183028
TGCP_WM10	0.000000	0.167803	0.164992	0.183056
TGCP_WM13	0.000000	0.164235	0.169883	0.192268
TGCP_WM1	0.000000	0.171053	0.171898	0.192388
TGCP_WM10	0.000000	0.166167	0.161261	0.189813
TGCP_WM1	0.000000	0.170725	0.166348	0.188404
TGCP_WM1	0.000000	0.165638	0.163810	0.178376
TGCP_WM11	0.000000	0.171283	0.172127	0.187915
TGCP_WM1	0.000000	0.168107	0.164804	0.185614
TGCP_WM1	0.000000	0.173084	0.165537	0.188509
TGCP_WM1	0.000000	0.168037	0.164206	0.183605
TGCP_WM10	0.000000	0.165506	0.160651	0.181980
TGCP_WM11	0.000000	0.174814	0.170137	0.185319
TGCP_WM10	0.000000	0.168031	0.163095	0.183196
TGCP_WM12	0.000000	0.164304	0.166408	0.184038
TGCP_WM10	0.000000	0.171705	0.161389	0.185431
TGCP_WM11	0.000000	0.173727	0.166523	0.190846
TGCP_WM10	0.000000	0.179876	0.179109	0.182544
TGCP_WM1	0.000000	0.165170	0.168866	0.189218
TGCP_WM1	0.000000	0.167816	0.168566	0.186252
TGCP_WM1	0.000000	0.174995	0.170769	0.198952
TGCP_WM10	0.000000	0.169670	0.166003	0.191223
TGCP_WM1	0.000000	0.163428	0.159448	0.182514
TGCP_WM13	0.000000	0.178101	0.175367	0.201478
TGCP_WM1	0.000000	0.167318	0.163125	0.181729
TGCP_WM1	0.000000	0.167121	0.162291	0.194173
TGCP_WM1	0.000000	0.173730	0.167515	0.190957
TGCP_WM13	0.000000	0.161197	0.162955	0.185291
TGCP_WM1	0.000000	0.169348	0.164919	0.184986
TGCP_WM10	0.000000	0.161591	0.160421	0.189626
TGCP_WM11	0.000000	0.174619	0.170450	0.200561
TGCP_WM1	0.000000	0.162791	0.169711	0.186071
TGCP_WM1	0.000000	0.172131	0.166782	0.189719
TGCP_WM1	0.000000	0.167959	0.166776	0.174271
TGCP_WM12	0.000000	0.166619	0.166312	0.189658
TGCP_WM10	0.000000	0.165618	0.165621	0.180702
TGCP_WM11	0.000000	0.168880	0.171558	0.191216
TGCP_WM1	0.000000	0.164885	0.164534	0.180461
TGCP_WM1	0.000000	0.166294	0.161969	0.181827
TGCP_WM1	0.000000	0.171550	0.165234	0.178830
TGCP_WM11	0.000000	0.171405	0.161820	0.185555
TGCP_WM11	0.000000	0.175806	0.172124	0.196415
TGCP_WM10	0.000000	0.173781	0.171549	0.190045
TGCP_WM11	0.000000	0.170736	0.174294	0.179391
TGCP_WM12	0.000000	0.172577	0.169171	0.192407
TGCP_WM1	0.000000	0.169488	0.169973	0.192346
TGCP_WM1	0.000000	0.172124	0.171534	0.183813
TGCP_WM1	0.000000	0.167259	0.163993	0.184933
